"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
10,in solution,20,ethanol,,,,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
171,in solution,,ethanol,,,in boiling solvent.,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
64,in solution,20,acetone,,,,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
185,in solution,,acetone,,,in boiling solvent.,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
220,in solution,20,ethyl acetate,,,,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
166,in solution,20,light petroleum,,,,"Page;?Rudy[Biochemische Zeitschrift,?1930, vol. 220, p. 304,308, 321]"
,,,,,,,Full Text
,,,,,,,Details
