"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,18,pyridine,,,"1,1 g solvent dissolves. 1 mg Substance.","Bridel;?Charaux[Journal de Pharmacie et de Chimie,?1930, vol. <8> 11, p. 369,372]"
,,,,,,,Full Text
,,,,,,,Details
,,18,acetone,,,"1,7 g solvent dissolves. 1 mg Substance.","Bridel;?Charaux[Journal de Pharmacie et de Chimie,?1930, vol. <8> 11, p. 369,372]"
,,,,,,,Full Text
,,,,,,,Details
,,18,butan-1-ol,,,"3,4 g solvent dissolves. 1 mg Substance.","Bridel;?Charaux[Journal de Pharmacie et de Chimie,?1930, vol. <8> 11, p. 369,372]"
,,,,,,,Full Text
,,,,,,,Details
,,18,ethanol,,,"2,1 g solvent dissolves. 1 mg Substance.","Bridel;?Charaux[Journal de Pharmacie et de Chimie,?1930, vol. <8> 11, p. 369,372]"
,,,,,,,Full Text
,,,,,,,Details
,,18,methanol,,,"0,84 g solvent dissolves. 1 mg Substance.","Bridel;?Charaux[Journal de Pharmacie et de Chimie,?1930, vol. <8> 11, p. 369,372]"
,,,,,,,Full Text
,,,,,,,Details
,,18,aq. ethanol,,,"2,0 g solvent dissolves. 1 mg Substance.","Bridel;?Charaux[Journal de Pharmacie et de Chimie,?1930, vol. <8> 11, p. 369,372]"
,,,,,,,Full Text
,,,,,,,Details
,,18,aq. ethanol,,,"3,0 g solvent dissolves. 1 mg Substance.","Bridel;?Charaux[Journal de Pharmacie et de Chimie,?1930, vol. <8> 11, p. 369,372]"
,,,,,,,Full Text
,,,,,,,Details
,,18,H2O,,,10 g solvent dissolves. 1 mg Substance.,"Bridel;?Charaux[Journal de Pharmacie et de Chimie,?1930, vol. <8> 11, p. 369,372]"
,,,,,,,Full Text
,,,,,,,Details
