"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,20,toluene,,Paragraph 0086,Solubility: 0.04 g/100g solvent,"Current Patent Assignee:?SANKO?- JP2015/3875,?2015, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,methanol,,Paragraph 0086,Solubility: 0.1 g/100g solvent,"Current Patent Assignee:?SANKO?- JP2015/3875,?2015, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,isopropyl alcohol,,Paragraph 0086,Solubility: 0.1 g/100g solvent,"Current Patent Assignee:?SANKO?- JP2015/3875,?2015, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,butan-1-ol,,Paragraph 0086,Solubility: 0.2 g/100g solvent,"Current Patent Assignee:?SANKO?- JP2015/3875,?2015, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,ethyl acetate,,Paragraph 0086,Solubility: 0.3 g/100g solvent,"Current Patent Assignee:?SANKO?- JP2015/3875,?2015, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,acetone,,Paragraph 0086,Solubility: 0.6 g/100g solvent,"Current Patent Assignee:?SANKO?- JP2015/3875,?2015, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,butanone,,Paragraph 0086,Solubility: 1.1 g/100g solvent,"Current Patent Assignee:?SANKO?- JP2015/3875,?2015, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,"N,N-dimethyl acetamide",,Paragraph 0086,Solubility: 19.5 g/100g solvent,"Current Patent Assignee:?SANKO?- JP2015/3875,?2015, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,20,tetrahydrofuran,,Paragraph 0086,Solubility: 4.9 g/100g solvent,"Current Patent Assignee:?SANKO?- JP2015/3875,?2015, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
