"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,17,ethanol,,,"100 g solvent dissolves. 2.95 g Substance., 3-benzoyl-d-camphor","Lowry;?MacConkey;?Burgess[Journal of the Chemical Society,?1928, p. 1336]"
,,,,,,,Full Text
,,,,,,,Details
,,17,acetone,,,"100 g solvent dissolves. 19.3 g Substance., 3-benzoyl-d-camphor","Lowry;?MacConkey;?Burgess[Journal of the Chemical Society,?1928, p. 1336]"
,,,,,,,Full Text
,,,,,,,Details
,,17,benzene,,,"100 g solvent dissolves. 16.9 g Substance., 3-benzoyl-d-camphor","Lowry;?MacConkey;?Burgess[Journal of the Chemical Society,?1928, p. 1336]"
,,,,,,,Full Text
,,,,,,,Details
,,0,diethyl ether,,,"100 g solvent dissolves. 20.1 g Substance., 3-benzoyl-d-camphor","Dimroth[Justus Liebigs Annalen der Chemie,?1913, vol. 399, p. 108]"
,,,,,,,Full Text
,,,,,,,Details
