"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,ethanol,,,in boiling solvent.,"Merz;?Krebs[Archiv der Pharmazie,?1937, vol. 275, p. 217,235]"
,,,,,,,Full Text
,,,,,,,Details
,,,H2O,,,in boiling solvent.,"Merz;?Krebs[Archiv der Pharmazie,?1937, vol. 275, p. 217,235]"
,,,,,,,Full Text
,,,,,,,Details
,,,methanol,,,in boiling solvent.,"Merz;?Krebs[Archiv der Pharmazie,?1937, vol. 275, p. 217,235]"
,,,,,,,Full Text
,,,,,,,Details
,,,H2O,,,100 g solvent dissolves. 10.01 g Substance.at:20-22 degreeC.,"Bridel[Journal de Pharmacie et de Chimie,?1911, vol. <7> 4, p. 49,56]"
,,,,,,,Full Text
,,,,,,,Details
,,,ethanol,,,100 g solvent dissolves. 0.566 g Substance.at:20-22 degreeC.,"Bridel[Journal de Pharmacie et de Chimie,?1911, vol. <7> 4, p. 49,56]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,100 g solvent dissolves. 3.19 g Substance.at:20-22 degreeC.,"Bridel[Journal de Pharmacie et de Chimie,?1911, vol. <7> 4, p. 49,56]"
,,,,,,,Full Text
,,,,,,,Details
,,,acetone,,,100 g solvent dissolves. 0.239 g Substance.at:20-22 degreeC.,"Bridel[Journal de Pharmacie et de Chimie,?1911, vol. <7> 4, p. 49,56]"
,,,,,,,Full Text
,,,,,,,Details
,,,ethyl acetate,,,100 g solvent dissolves. 0.073 g Substance.at:20-22 degreeC.,"Bridel[Journal de Pharmacie et de Chimie,?1911, vol. <7> 4, p. 49,56]"
,,,,,,,Full Text
,,,,,,,Details
,,,CHCl3,,,100 g solvent dissolves. 0.084 g Substance.at:20-22 degreeC.,"Bridel[Journal de Pharmacie et de Chimie,?1911, vol. <7> 4, p. 49,56]"
,,,,,,,Full Text
,,,,,,,Details
