"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,0.08,toluene,,,Solubility: 0.517 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,5.17,toluene,,,Solubility: 0.719 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,12.34,toluene,,,Solubility: 0.929 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,17.77,toluene,,,Solubility: 1.251 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,24.13,toluene,,,Solubility: 1.675 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,12.29,butanone,,,Solubility: 10.512 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,26.88,acetone,,,Solubility: 10.533 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,29.73,acetone,,,Solubility: 11.381 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,18.3,butanone,,,Solubility: 11.545molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,23.57,butanone,,,Solubility: 12.804 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,29.25,butanone,,,Solubility: 13.038 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,34.79,acetone,,,Solubility: 13.568 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,34.47,butanone,,,Solubility: 14.888 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,37.78,acetone,,,Solubility: 15.009 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,42.39,acetone,,,Solubility: 15.507 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,39.99,butanone,,,Solubility: 17.349 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,28.08,toluene,,,Solubility: 2 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,34.57,toluene,,,Solubility: 2.785 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,45.95,butanone,,,Solubility: 20.785 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,38.9,toluene,,,Solubility: 3.558 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,42.5,toluene,,,Solubility: 4.13 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,48.5,toluene,,,Solubility: 5.794 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
,,-1.2,acetone,,,Solubility: 6.158 molpercent,"Pascual, Gladys Kate;?Donnellan, Philip;?Glennon, Brian;?Kamaraju, Vamsi Krishna;?Jones, Roderick C.[Journal of Chemical and Engineering Data,?2017, vol. 62, # 10, p. 3193 - 3205]"
,,,,,,,Full Text
,,,,,,,Cited 12 timesDetailsAbstract
