"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,19,diethyl ether,,,Solubility:0.077 g/kg.,"Bridel;?Picard[Bulletin de la Societe Chimique de France,?1925, vol. <4> 37, p. 1029][Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences,?1928, vol. 187, p. 609]"
,,,,,,,Full Text
,,,,,,,Details
,,19,CHCl3,,,Solubility:0.999 g/kg.,"Bridel;?Picard[Bulletin de la Societe Chimique de France,?1925, vol. <4> 37, p. 1029][Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences,?1928, vol. 187, p. 609]"
,,,,,,,Full Text
,,,,,,,Details
,,19,ethyl acetate,,,Solubility:1.72 g/kg.,"Bridel;?Picard[Bulletin de la Societe Chimique de France,?1925, vol. <4> 37, p. 1029][Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences,?1928, vol. 187, p. 609]"
,,,,,,,Full Text
,,,,,,,Details
,,19,acetone,,,Solubility:1.54 g/kg.,"Bridel;?Picard[Bulletin de la Societe Chimique de France,?1925, vol. <4> 37, p. 1029][Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences,?1928, vol. 187, p. 609]"
,,,,,,,Full Text
,,,,,,,Details
,,19,ethanol,,,Solubility:3.937 g/kg.,"Bridel;?Picard[Bulletin de la Societe Chimique de France,?1925, vol. <4> 37, p. 1029][Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences,?1928, vol. 187, p. 609]"
,,,,,,,Full Text
,,,,,,,Details
,,19,aq. ethanol,,,Solubility:6.652 g/kg.,"Bridel;?Picard[Bulletin de la Societe Chimique de France,?1925, vol. <4> 37, p. 1029][Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences,?1928, vol. 187, p. 609]"
,,,,,,,Full Text
,,,,,,,Details
,,19,H2O,,,Solubility:80.899 g/kg.,"Bridel;?Picard[Bulletin de la Societe Chimique de France,?1925, vol. <4> 37, p. 1029][Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences,?1928, vol. 187, p. 609]"
,,,,,,,Full Text
,,,,,,,Details
