"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.1,in pure solvent,,methanol,,,,"Cheng, Nongyi;?Yan, Qifan;?Liu, Shuai;?Zhao, Dahui[CrystEngComm,?2014, vol. 16, # 20, p. 4265 - 4273]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
0.2,in pure solvent,,dichloromethane,,,,"Cheng, Nongyi;?Yan, Qifan;?Liu, Shuai;?Zhao, Dahui[CrystEngComm,?2014, vol. 16, # 20, p. 4265 - 4273]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
0.2,in pure solvent,,acetone,,,,"Cheng, Nongyi;?Yan, Qifan;?Liu, Shuai;?Zhao, Dahui[CrystEngComm,?2014, vol. 16, # 20, p. 4265 - 4273]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
0.2,in pure solvent,,acetonitrile,,,,"Cheng, Nongyi;?Yan, Qifan;?Liu, Shuai;?Zhao, Dahui[CrystEngComm,?2014, vol. 16, # 20, p. 4265 - 4273]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
0.5,in pure solvent,,methanol,,,,"Cheng, Nongyi;?Yan, Qifan;?Liu, Shuai;?Zhao, Dahui[CrystEngComm,?2014, vol. 16, # 20, p. 4265 - 4273]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
10,in pure solvent,,dimethyl sulfoxide,,,,"Cheng, Nongyi;?Yan, Qifan;?Liu, Shuai;?Zhao, Dahui[CrystEngComm,?2014, vol. 16, # 20, p. 4265 - 4273]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
10,in pure solvent,,"N,N-dimethyl-formamide",,,,"Cheng, Nongyi;?Yan, Qifan;?Liu, Shuai;?Zhao, Dahui[CrystEngComm,?2014, vol. 16, # 20, p. 4265 - 4273]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
5,in pure solvent,,tetrahydrofuran,,,,"Cheng, Nongyi;?Yan, Qifan;?Liu, Shuai;?Zhao, Dahui[CrystEngComm,?2014, vol. 16, # 20, p. 4265 - 4273]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
6,in pure solvent,,"1,4-dioxane",,,,"Cheng, Nongyi;?Yan, Qifan;?Liu, Shuai;?Zhao, Dahui[CrystEngComm,?2014, vol. 16, # 20, p. 4265 - 4273]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
