"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
51.7,in pure solvent,20,"CHCl3, methanol",2:01,,,"Molotkovskii,Yu.G. et al.[Bulletin of the Academy of Sciences of the USSR Division of Chemical Science,?1968, p. 1026 - 1029][Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya,?1968, # 5, p. 1079 - 1084]"
,,,,,,,Full Text
,,,,,,,Details
5.5,in pure solvent,20,methanol,,,,"Molotkovskii,Yu.G. et al.[Bulletin of the Academy of Sciences of the USSR Division of Chemical Science,?1968, p. 1026 - 1029][Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya,?1968, # 5, p. 1079 - 1084]"
,,,,,,,Full Text
,,,,,,,Details
0.53,in pure solvent,20,acetone,,,,"Molotkovskii,Yu.G. et al.[Bulletin of the Academy of Sciences of the USSR Division of Chemical Science,?1968, p. 1026 - 1029][Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya,?1968, # 5, p. 1079 - 1084]"
,,,,,,,Full Text
,,,,,,,Details
0.053,in pure solvent,20,heptane,,,,"Molotkovskii,Yu.G. et al.[Bulletin of the Academy of Sciences of the USSR Division of Chemical Science,?1968, p. 1026 - 1029][Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya,?1968, # 5, p. 1079 - 1084]"
,,,,,,,Full Text
,,,,,,,Details
0.4,in pure solvent,20,H2O,,,,"Molotkovskii,Yu.G. et al.[Bulletin of the Academy of Sciences of the USSR Division of Chemical Science,?1968, p. 1026 - 1029][Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya,?1968, # 5, p. 1079 - 1084]"
,,,,,,,Full Text
,,,,,,,Details
