"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
11.4,in pure solvent,19,benzene,,,stable ¦Â-<¦Á-furyl>-acrylic acid,"Liebermann[Chemische Berichte,?1895, vol. 28, p. 132]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,,"Liebermann[Chemische Berichte,?1894, vol. 27, p. 290]"
,,,,,,,Full Text
,,,,,,,Details
,,19,benzene,,,"6 part(s) of substance.dissolves in:100 parts of solvent., unstable ¦Â-<¦Á-furyl>-acrylic acid","Liebermann[Chemische Berichte,?1895, vol. 28, p. 132]"
,,,,,,,Full Text
,,,,,,,Details
,,,H2O,,,"1 part(s) of substance.dissolves in:500 parts of solvent., stable ¦Â-<¦Á-furyl>-acrylic acid","Baeyer[Chemische Berichte,?1877, vol. 10, p. 356]"
,,,,,,,Full Text
,,,,,,,Details
