"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,,,,,,"Pinsuwan, Sirirat;?Myrdal, Paul B.;?Lee, Yung-Chi;?Yalkowsky, Samuel H.[Chemosphere,?1997, vol. 35, # 11, p. 2503 - 2513]"
,,,,,,,Full Text
,,,,,,,Cited 24 timesDetailsAbstract
1.5,in pure solvent,20,diisopropyl ether,,,,"Gauthier et al.[Annales Pharmaceutiques Francaises,?1958, vol. 16, p. 757,760, 762]"
,,,,,,,Full Text
,,,,,,,Details
8,in pure solvent,20,ethanol,,,,"Gauthier et al.[Annales Pharmaceutiques Francaises,?1958, vol. 16, p. 757,760, 762]"
,,,,,,,Full Text
,,,,,,,Details
10,in pure solvent,20,methanol,,,,"Gauthier et al.[Annales Pharmaceutiques Francaises,?1958, vol. 16, p. 757,760, 762]"
,,,,,,,Full Text
,,,,,,,Details
23,in pure solvent,20,CHCl3,,,,"Gauthier et al.[Annales Pharmaceutiques Francaises,?1958, vol. 16, p. 757,760, 762]"
,,,,,,,Full Text
,,,,,,,Details
30,in pure solvent,20,benzene,,,,"Gauthier et al.[Annales Pharmaceutiques Francaises,?1958, vol. 16, p. 757,760, 762]"
,,,,,,,Full Text
,,,,,,,Details
200,in pure solvent,20,acetone,,,,"Gauthier et al.[Annales Pharmaceutiques Francaises,?1958, vol. 16, p. 757,760, 762]"
,,,,,,,Full Text
,,,,,,,Details
