"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,insoluble in water,"Murata, Ryutaro;?Yago, Tomoaki;?Wakasa, Masanobu[Journal of Physical Chemistry A,?2015, vol. 119, # 45, p. 11138 - 11145]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
,,,,,,,"Yan, Dan-Ni;?Cai, Li-Xuan;?Hu, Shao-Jun;?Zhou, Yan-Fang;?Zhou, Li-Peng;?Sun, Qing-Fu[Angewandte Chemie - International Edition,?2022, vol. 61, # 42, art. no. E202209879][Angew. Chem.,?2022, vol. 134, # 42]"
,,,,,,,Full Text
,,,,,,,Cited 21 timesDetailsAbstract
,,,,,supporting information,insoluble in D2O,"Chen, Binbin;?Chen, Yixin;?Li, Hao;?Tong, Lu;?Wu, Guangcheng;?Zeng, Fei;?Zhu, Dingsheng[Organic Letters,?2021, vol. 23, # 24, p. 9343 - 9347]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
0.00131466,in pure solvent,37,aq. buffer,,,,"Calder, Ewen D. D.;?Conway, Stuart J.;?Folkes, Lisa K.;?Hammond, Ester M.;?Mistry, Ishna N.;?Skwarska, Anna;?Sneddon, Deborah[Tetrahedron,?2020, vol. 76, # 21]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
0.212368,,37,"1,2-Propanediol, aq. phosphate buffer","propane-1,2-diol (30 percent)",,,"Alalaiwe, Ahmed;?Fang, Jia-You;?Lin, Chih-Hung;?Lin, Jie-Yu;?Lin, Yin-Ku;?Wang, Pei-Wen[Chemosphere,?2020, vol. 255]"
,,,,,,,Full Text
,,,,,,,Cited 14 timesDetailsAbstract
,,,,,,poor soluble in water,"Kalantari, Mohammad;?Liu, Yang;?Strounina, Ekaterina;?Yang, Yannan;?Song, Hao;?Yu, Chengzhong[Journal of Materials Chemistry A,?2018, vol. 6, # 36, p. 17579 - 17586]"
,,,,,,,Full Text
,,,,,,,Cited 19 timesDetailsAbstract
,,,,,supporting information,insoluble in water,"Shen, Libo;?Cao, Ning;?Tong, Lu;?Zhang, Xinjiang;?Wu, Guangcheng;?Jiao, Tianyu;?Yin, Qi;?Zhu, Jiaqi;?Pan, Yuanjiang;?Li, Hao[Angewandte Chemie - International Edition,?2018, vol. 57, # 50, p. 16486 - 16490][Angew. Chem.,?2018, vol. 130, p. 16724 - 16728,5]"
,,,,,,,Full Text
,,,,,,,Cited 32 timesDetailsAbstract
,,,,,,quite soluble in THF and low solubility in water,"Zhang, Meng;?Levaray, Nicolas;?Daniel, Jos¨¦e R.;?Waldron, Karen C.;?Zhu[Canadian Journal of Chemistry,?2017, vol. 95, # 7, p. 792 - 798]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,,24.84,,,,"more soluble in 1-decyl-3-methylimidazoliumbis(trifluorosulfonyl)amide, 1-butyl-3-methylimidazolium tricyanomethanide and less soluble in [C2C1im][Ntf2]","Andanson, Jean-Michel;?Costa, Anabela J. L.;?Gomes, Margarida F. Costa;?Szala-Bilnik, Joanna;?Bordes, ?milie;?Esperan?a, Jos¨¦ M. S. S.;?Lopes, Jos¨¦ N. Canongia;?P¨¢dua, Ag¨ªlio A. H.[Physical Chemistry Chemical Physics,?2017, vol. 19, # 40, p. 27694 - 27703]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,,,,,,insoluble in aqueous solution,"Singh, Yashapal;?Raj, A. Mohan;?Kiran;?Nithyanandhan;?Ramamurthy;?Jayaraman[Journal of Photochemistry and Photobiology A: Chemistry,?2016, vol. 317, p. 125 - 131]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
