"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,37,aq. phosphate buffer,,,the solubility of POM as a raw powder was 14.53 ¡À 0.41 ¦Ìg/mL,"Cristina Cardia, Maria;?Francesca Palmas, Maria;?Casula, Luca;?Pisanu, Augusta;?Marceddu, Salvatore;?Valenti, Donatella;?Sinico, Chiara;?(¡­)?Rosa Carta, Anna;?Lai, Francesco[International Journal of Pharmaceutics,?2022, vol. 625, art. no. 122079]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,24,"N,N-dimethyl-formamide",,Page/Page column 22,Solubility: 26 vol percent,"Current Patent Assignee:?F I S FABBRICA ITALIANA SINTETICI?- WO2017/121530,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,24,dimethyl sulfoxide,,Page/Page column 22,Solubility: 6 vol percent,"Current Patent Assignee:?F I S FABBRICA ITALIANA SINTETICI?- WO2017/121530,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,24,1-methyl-pyrrolidin-2-one,,Page/Page column 22,Solubility: 8 vol percent,"Current Patent Assignee:?F I S FABBRICA ITALIANA SINTETICI?- WO2017/121530,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,24,"1,4-dioxane",,Page/Page column 22,Solubility: > 80 vol percent,"Current Patent Assignee:?F I S FABBRICA ITALIANA SINTETICI?- WO2017/121530,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,24,diethyl ether,,Page/Page column 22,Solubility: > 80 vol percent,"Current Patent Assignee:?F I S FABBRICA ITALIANA SINTETICI?- WO2017/121530,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,24,nitromethane,,Page/Page column 22,Solubility: > 80 vol percent,"Current Patent Assignee:?F I S FABBRICA ITALIANA SINTETICI?- WO2017/121530,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,24,chloroform,,Page/Page column 22,Solubility: > 80 vol percent,"Current Patent Assignee:?F I S FABBRICA ITALIANA SINTETICI?- WO2017/121530,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1,in pure solvent,24,ethanol,,Page/Page column 22,,"Current Patent Assignee:?F I S FABBRICA ITALIANA SINTETICI?- WO2017/121530,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1,in pure solvent,24,water,,Page/Page column 22,,"Current Patent Assignee:?F I S FABBRICA ITALIANA SINTETICI?- WO2017/121530,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.03,in pure solvent,,ethyl acetate,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.08,in pure solvent,,butan-1-ol,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.1,in pure solvent,,acetic acid butyl ester,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.14,in pure solvent,,ethanol,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.19,in pure solvent,,water,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.32,in pure solvent,,isopropyl alcohol,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.36,in pure solvent,,n-heptane,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.36,in pure solvent,,toluene,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.41,in pure solvent,,methanol,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.03,in pure solvent,,tert-butyl methyl ether,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.26,in pure solvent,,butanone,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.27,in pure solvent,,acetonitrile,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.45,in pure solvent,,dichloromethane,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1.99,in pure solvent,,acetone,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
5.26,in pure solvent,,tetrahydrofuran,,Paragraph 0097,,"Current Patent Assignee:?IP GES FUR MAN?- EP2815749,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.08,in pure solvent,20,butan-1-ol,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.1,in pure solvent,20,acetic acid butyl ester,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.14,in pure solvent,20,ethanol,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.19,in pure solvent,20,water,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.32,in pure solvent,20,isopropyl alcohol,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.36,in pure solvent,20,n-heptane,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.36,in pure solvent,20,toluene,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.41,in pure solvent,20,methanol,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.54,in pure solvent,20,"water, ethanol",water (50 vol percent); ethanol (50 vol percent),Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.63,in pure solvent,20,ethyl acetate,,Paragraph 00219,,"Current Patent Assignee:?CELGENE?- WO2013/126326,?2013, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
