"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,good solubility in DMF,"You, Zi-Xin;?Xiao, Yao;?Guan, Qing-Lin;?Zhang, Ting;?Xing, Yong-Heng;?Bai, Feng-Ying[Journal of Materials Chemistry C,?2023, vol. 11, # 43, p. 15149 - 15159]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.415,in solution,15.1,H2O,,,,"Achard;?Jaoui;?Schwing;?Rogalski[Journal of Chemical and Engineering Data,?1996, vol. 41, # 3, p. 504 - 507]"
,,,,,,,Full Text
,,,,,,,Cited 41 timesDetailsAbstract
0.691,in solution,25,H2O,,,,"Achard;?Jaoui;?Schwing;?Rogalski[Journal of Chemical and Engineering Data,?1996, vol. 41, # 3, p. 504 - 507]"
,,,,,,,Full Text
,,,,,,,Cited 41 timesDetailsAbstract
0.975,in solution,35,H2O,,,,"Achard;?Jaoui;?Schwing;?Rogalski[Journal of Chemical and Engineering Data,?1996, vol. 41, # 3, p. 504 - 507]"
,,,,,,,Full Text
,,,,,,,Cited 41 timesDetailsAbstract
0.005,in pure solvent,25,H2O,,,,"Howe, George E.;?Marking, Leif L.;?Bills, Terry D.;?Rach, Jeffery J.;?Mayer, Foster L.[Environmental Toxicology and Chemistry,?1994, vol. 13, # 1, p. 51 - 66]"
,,,,,,,Full Text
,,,,,,,Cited 96 timesDetailsAbstract
5,in pure solvent,25,H2O,,,,"Brecken-Folse;?Mayer;?Pedigo;?Marking[Environmental Toxicology and Chemistry,?1994, vol. 13, # 1, p. 67 - 77]"
,,,,,,,Full Text
,,,,,,,Cited 79 timesDetailsAbstract
0.828,in pure solvent,20,heptane,,,,"Korenman, Ya. I.[Russian Journal of Physical Chemistry,?1983, vol. 57, # 3, p. 382 - 384][Zhurnal Fizicheskoi Khimii,?1983, vol. 57, # 3, p. 632 - 635]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
5.155,in pure solvent,20,H2O,,,,"Korenman, Ya. I.[Russian Journal of Physical Chemistry,?1983, vol. 57, # 3, p. 382 - 384][Zhurnal Fizicheskoi Khimii,?1983, vol. 57, # 3, p. 632 - 635]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
8.101,in pure solvent,20,CCl4,,,,"Korenman, Ya. I.[Russian Journal of Physical Chemistry,?1983, vol. 57, # 3, p. 382 - 384][Zhurnal Fizicheskoi Khimii,?1983, vol. 57, # 3, p. 632 - 635]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
78.799,in pure solvent,20,toluene,,,,"Korenman, Ya. I.[Russian Journal of Physical Chemistry,?1983, vol. 57, # 3, p. 382 - 384][Zhurnal Fizicheskoi Khimii,?1983, vol. 57, # 3, p. 632 - 635]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,"L.v. Kalium in 2.4-Dinitrophenol,Extraktion in percent","Iwachido,T.[Bulletin of the Chemical Society of Japan,?1971, vol. 44, p. 1835 - 1840]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,Loeslichkeit in wss. HNO3,"Romanzowa[Russian Journal of Physical Chemistry,?1964, vol. 38, p. 1474][Zhurnal Fizicheskoi Khimii,?1964, vol. 38, p. 2711]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,"W., 25grad: 48.2 mg/100g; Heptan, 25grad: 0.151 g/100g","Rapoport et al.[Journal of Physical Chemistry,?1962, vol. 66, p. 1752]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,"Loeslichkeit in W., wss. A., wss. Dioxan","Bell;?Robinson[Transactions of the Faraday Society,?1961, vol. 57, p. 965,966]"
,,,,,,,Full Text
,,,,,,,Details
0.0865,in solution,25,H2O,,,,"Shikata;?Hozaki[Journal of the Agricultural Chemical Society of Japan,?1932, vol. 8, p. 76]"
,,,,,,,Full Text
,,,,,,,Details
,,12.5,H2O,,,100 g solvent dissolves. 0.02 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,100,H2O,,,100 g solvent dissolves. 1.32 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,15,ethyl acetate,,,100 g solvent dissolves. 15.5 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,50,ethyl acetate,,,100 g solvent dissolves. 39.5 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,15,acetone,,,100 g solvent dissolves. 35.9 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,50,acetone,,,100 g solvent dissolves. 98.3 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,15,methanol,,,100 g solvent dissolves. 5.0 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,50,methanol,,,100 g solvent dissolves. 16.9 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,15,ethanol,,,100 g solvent dissolves. 3.0 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,50,ethanol,,,100 g solvent dissolves. 11.7 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,15,ethanol,,,100 g solvent dissolves. 3.8 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,50,ethanol,,,100 g solvent dissolves. 13.3 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
,,15,benzene,,,100 g solvent dissolves. 6.4 g Substance.,"Desvergnes[1927, vol. 36, p. 196]"
,,,,,,,Full Text
,,,,,,,Details
