"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,sparingly soluble in water,"Bhattacharyya, Hemanga;?Saha, Sharajit;?Verma, Kshitiz;?Punniyamurthy, Tharmalingam[Organic Letters,?2023, vol. 25, # 37, p. 6830 - 6834]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,,-0.01,water,,,Solubility: 0.01074 mol/l,"Zhang, Xiang;?Chen, Jian;?Hu, Jinzhong;?Liu, Min;?Cai, Zhuoer;?Xu, Yang;?Sun, Baiwang[Journal of Chemical Research,?2021, vol. 45, # 11-12, p. 1100 - 1106]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,,9.99,water,,,Solubility: 0.01189 mol/l,"Zhang, Xiang;?Chen, Jian;?Hu, Jinzhong;?Liu, Min;?Cai, Zhuoer;?Xu, Yang;?Sun, Baiwang[Journal of Chemical Research,?2021, vol. 45, # 11-12, p. 1100 - 1106]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,,-0.01,acetonitrile,,,Solubility: 0.029 mol/l,"Zhang, Xiang;?Chen, Jian;?Hu, Jinzhong;?Liu, Min;?Cai, Zhuoer;?Xu, Yang;?Sun, Baiwang[Journal of Chemical Research,?2021, vol. 45, # 11-12, p. 1100 - 1106]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,,29.99,water,,,Solubility: 0.02937 mol/l,"Zhang, Xiang;?Chen, Jian;?Hu, Jinzhong;?Liu, Min;?Cai, Zhuoer;?Xu, Yang;?Sun, Baiwang[Journal of Chemical Research,?2021, vol. 45, # 11-12, p. 1100 - 1106]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,,-0.01,ethanol,,,Solubility: 0.034 mol/l,"Zhang, Xiang;?Chen, Jian;?Hu, Jinzhong;?Liu, Min;?Cai, Zhuoer;?Xu, Yang;?Sun, Baiwang[Journal of Chemical Research,?2021, vol. 45, # 11-12, p. 1100 - 1106]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
