"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
83,in pure solvent,25,water,,supporting information,,"Kumar, Vijith;?Pilati, Tullio;?Terraneo, Giancarlo;?Ciancaleoni, Gianluca;?Macchioni, Alceo;?Resnati, Giuseppe;?Metrangolo, Pierangelo[Angewandte Chemie - International Edition,?2018, vol. 57, # 5, p. 1327 - 1331][Angew. Chem.,?2018, vol. 130, p. 1341 - 1345,5]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in pure solvent,60,acetonitrile,,,Solubility: Ca.40 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,60,butanone,,,Solubility: >50 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,60,isopropyl alcohol,,,Solubility: >50 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,60,"1,2-dichloro-ethane",,,Solubility: <8 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
