"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
200,in solution,,ethanol,,,,"Pecherer;?Jampolsky;?Wuest[Journal of the American Chemical Society,?1948, vol. 70, p. 2587]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetails
30,in solution,,glycerol,,,,"Pecherer;?Jampolsky;?Wuest[Journal of the American Chemical Society,?1948, vol. 70, p. 2587]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetails
12,in solution,,benzene,,,,"Pecherer;?Jampolsky;?Wuest[Journal of the American Chemical Society,?1948, vol. 70, p. 2587]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetails
3.3,in solution,,diethyl ether,,,,"Pecherer;?Jampolsky;?Wuest[Journal of the American Chemical Society,?1948, vol. 70, p. 2587]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetails
