"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,soluble in chloroform and ethyl acetate and isobutanol,"Ads, Essam N.;?Ali, Mohamed A.;?Aly, Shaza H.;?Hassan, Syed I.;?Hetta, Mona H.;?Rajendrasozhan, Saravanan[Molecules,?2022, vol. 27, # 6, art. no. 1805]"
,,,,,,,Full Text
,,,,,,,Cited 15 timesDetailsAbstract
,,,,,,lower soluble in CCl4,"Pokorny, Jan;?Horka, Vladimir;?Sidova, Veronika;?Urban, Milan[Monatshefte fur Chemie,?2018, vol. 149, # 4, p. 839 - 845]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,,,,,very slightly soluble in dichloromethane,"Luk¨¢?, Milo?;?Horv¨¢th, Branislav;?Pis¨¢r?ik, Martin;?Dev¨ªnsky, Ferdinand;?Hor¨¢kov¨¢, Ren¨¢ta[Monatshefte fur Chemie,?2018, vol. 149, # 5, p. 947 - 952]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,,,,,,insoluble in DMSO,"Mishra, Tripti;?Arya, Rakesh Kumar;?Meena, Sanjeev;?Joshi, Pushpa;?Pal, Mahesh;?Meena, Baleshwar;?Upreti;?Rana;?Datta, Dipak[PLoS ONE,?2016, vol. 11, # 7, art. no. E0159430]"
,,,,,,,Full Text
,,,,,,,Cited 60 timesDetailsAbstract
,in solution,5.04,methanol,,,Solubility: 1.79E-2 molpercent,"Cao, Dan;?Zhao, Guoling;?Yan, Weidong[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1366 - 1368]"
,,,,,,,Full Text
,,,,,,,Cited 41 timesDetailsAbstract
,in solution,15.04,methanol,,,Solubility: 2.48E-2 molpercent,"Cao, Dan;?Zhao, Guoling;?Yan, Weidong[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1366 - 1368]"
,,,,,,,Full Text
,,,,,,,Cited 41 timesDetailsAbstract
,in solution,25.04,methanol,,,Solubility: 3.28E-2 molpercent,"Cao, Dan;?Zhao, Guoling;?Yan, Weidong[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1366 - 1368]"
,,,,,,,Full Text
,,,,,,,Cited 41 timesDetailsAbstract
,in solution,35.04,methanol,,,Solubility: 3.97E-2 molpercent,"Cao, Dan;?Zhao, Guoling;?Yan, Weidong[Journal of Chemical and Engineering Data,?2007, vol. 52, # 4, p. 1366 - 1368]"
