"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,24.84,,,,"more soluble in 1-decyl-3-methylimidazoliumbis(trifluorosulfonyl)amide, 1-butyl-3-methylimidazolium tricyanomethanide, butylmethylpyrrolidiniumbis(trifluorosulfonyl)amide and less soluble in [C2C1im][C(CN)3]","Andanson, Jean-Michel;?Costa, Anabela J. L.;?Gomes, Margarida F. Costa;?Szala-Bilnik, Joanna;?Bordes, ?milie;?Esperan?a, Jos¨¦ M. S. S.;?Lopes, Jos¨¦ N. Canongia;?P¨¢dua, Ag¨ªlio A. H.[Physical Chemistry Chemical Physics,?2017, vol. 19, # 40, p. 27694 - 27703]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,,24.99,ethanol,,,Solubility: 0.90691 mol/kg,"Eliseeva;?Dyshin;?Kiselev[Russian Journal of Physical Chemistry,?2013, vol. 87, # 3, p. 401 - 406][Zh. Fiz. Khim.,?2013, vol. 87, # 3, p. 422 - 426,5]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,24.99,"octane, ethanol",ethanol (0.99 molpercent),,Solubility: 0.95542 mol/kg,"Eliseeva;?Dyshin;?Kiselev[Russian Journal of Physical Chemistry,?2013, vol. 87, # 3, p. 401 - 406][Zh. Fiz. Khim.,?2013, vol. 87, # 3, p. 422 - 426,5]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,24.99,"octane, ethanol",ethanol (0.9798 molpercent),,Solubility: 0.98217 mol/kg,"Eliseeva;?Dyshin;?Kiselev[Russian Journal of Physical Chemistry,?2013, vol. 87, # 3, p. 401 - 406][Zh. Fiz. Khim.,?2013, vol. 87, # 3, p. 422 - 426,5]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,24.99,"octane, ethanol",ethanol (0.9701 molpercent),,Solubility: 1.09416 mol/kg,"Eliseeva;?Dyshin;?Kiselev[Russian Journal of Physical Chemistry,?2013, vol. 87, # 3, p. 401 - 406][Zh. Fiz. Khim.,?2013, vol. 87, # 3, p. 422 - 426,5]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
