"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,insoluble in water,"Qi, Man;?Zhang, Kai;?Li, Siqiao;?Wu, Jianrong;?Pham-Huy, Chuong;?Diao, Xintong;?Xiao, Deli;?He, Hua[New Journal of Chemistry,?2016, vol. 40, # 5, p. 4480 - 4491]"
,,,,,,,Full Text
,,,,,,,Cited 55 timesDetailsAbstract
,,,,,,,"Das, Krishnendu;?Nimushakavi, Sahithi;?Chaudhuri, Arabinda;?Das, Prasanta Kumar[ChemMedChem,?2017, vol. 12, # 10, p. 738 - 750]"
,,,,,,,Full Text
,,,,,,,Cited 16 timesDetailsAbstract
,,,,,,,"Liu, Gai;?Gaines, Jennifer C.;?Robbins, Kevin J.;?Lazo, Noel D.[ACS Medicinal Chemistry Letters,?2012, vol. 3, # 10, p. 856 - 859,4]"
,,,,,,,Full Text
,,,,,,,Cited 14 timesDetailsAbstract
,,,,,,,"Low, Zhi Xuan;?Teo, Michelle Yee Mun;?Nordin, Fariza Juliana;?Dewi, Firli Rahmah Primula;?Palanirajan, Vijayaraj Kumar;?In, Lionel Lian Aun[International Journal of Molecular Sciences,?2022, vol. 23, # 21, art. no. 12866]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,,,,,,,"Zhang, Min-Jie;?Shi, Mengna;?Yu, Yang;?Wang, Hong;?Ou, Rongying;?Ge, Ren-shan[Life Sciences,?2024, vol. 338, art. no. 122406]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,solubility of curcumin is low in the water,"El-Megharbel, Samy M.;?Qahl, Safa H.;?Althobaiti, Khaled;?Al-Thubaiti, Eman H.;?Hamza, Reham Z.[Bulletin of the Chemical Society of Ethiopia,?2024, vol. 38, # 2, p. 347 - 363]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,Paragraph 0079,soluble in coconut oil,"Current Patent Assignee:?CORNELL UNIVERSITY?- US2023/190937,?2023, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,water-insoluble,"Shi, Hui;?Huai, Shuo;?Wei, Huiling;?Xu, Ying;?Lei, Lei;?Chen, Hao;?Li, Xingyi;?Ma, Huixiang[International Journal of Pharmaceutics,?2023, vol. 643, art. no. 123205]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,,,,,,extremely poor water solubility,"Brenner, Marvin Benedikt;?Flory, Sandra;?Wu?st, Matthias;?Frank, Jan;?Wagner, Karl[Journal of Agricultural and Food Chemistry,?2023, vol. 71, # 42, p. 15632 - 15643]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,,,,,,hardly soluble in water,"Huang, Qiyu;?Zhang, Lili;?Sun, Xiaoyi;?Zeng, Ke;?Li, Juan;?Liu, You-Nian[RSC Advances,?2014, vol. 4, # 103, p. 59211 - 59217]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
,,,,,,,"Tian, Yan;?Jia, Dongmei;?Dirican, Mahmut;?Cui, Meng;?Fang, Dongjun;?Yan, Chaoyi;?Xie, Jingyi;?(¡­)?Zhang, Xiangwu;?Tao, Jinsong[Biomacromolecules,?2022, vol. 23, # 3, p. 960 - 971]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,,,,,,poor water solubility,"Wu, Yilong;?Wang, Honglin;?Tan, Shuangyu;?Liu, Zhiwei;?Lin, Peimin;?Wu, Weifang;?Lin, Su;?(¡­)?Wu, Lixian;?Xu, Jianhua[Bioscience Reports,?2018, vol. 38, # 5, art. no. BSR20180849]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,,,,,,,"Deptula, Tomasz;?Krwczyski, Adam;?Bubko, Irena;?Gruber-Bzura, Beata Maria[Acta poloniae pharmaceutica,?2020, vol. 77, # 1, p. 99 - 111]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,,"Hatamipour, Mahdi;?Hadizadeh, Farzin;?Jaafari, Mahmoud Reza;?Khashyarmanesh, Zahra;?Kesharwani, Prashant;?McCloskey, Alice P.;?Sahebkar, Amirhossein[Process Biochemistry,?2022, vol. 122, p. 250 - 257]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
0.00054,in pure solvent,37,acidic aq. solution,,,0.1M HCl,"Paulazzi, Alessandro R.;?Alves, Bianca O.;?Zilli, Gabriela A. L.;?dos Santos, Aline E.;?Petry, Fernanda;?Soares, Krissie D.;?Danielli, Let¨ªcia J.;?(¡­)?Oliveira, J. Vladimir;?M¨¹ller, Liz Girardi[Inflammopharmacology,?2022, vol. 30, # 1, p. 327 - 341]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
0.00054,in pure solvent,37,water,,,,"Paulazzi, Alessandro R.;?Alves, Bianca O.;?Zilli, Gabriela A. L.;?dos Santos, Aline E.;?Petry, Fernanda;?Soares, Krissie D.;?Danielli, Let¨ªcia J.;?(¡­)?Oliveira, J. Vladimir;?M¨¹ller, Liz Girardi[Inflammopharmacology,?2022, vol. 30, # 1, p. 327 - 341]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
0.00062,in pure solvent,37,acidic aq. solution,,,pH=6.8,"Paulazzi, Alessandro R.;?Alves, Bianca O.;?Zilli, Gabriela A. L.;?dos Santos, Aline E.;?Petry, Fernanda;?Soares, Krissie D.;?Danielli, Let¨ªcia J.;?(¡­)?Oliveira, J. Vladimir;?M¨¹ller, Liz Girardi[Inflammopharmacology,?2022, vol. 30, # 1, p. 327 - 341]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,,,,,low soluble in water,"Gu, Weiming;?Liu, Dan;?Sun, Jianxia[International Journal of Food Microbiology,?2022, vol. 378, art. no. 109816]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
