"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,"in Loesungen versch. Ammoniumsalze (Tab. 1, 2; Fig. 1, 2, 4, 5, 6, 7, 10, 11)","Joshi et al.[Pharmaceutica Acta Helvetiae,?1971, vol. 46, p. 570,573 - 581]"
,,,,,,,Full Text
,,,,,,,Details
,,15,methanol,,,100 g solvent dissolves. 4.8 g Substance.,Hoechster Farbw[1951]
,,,,,,,Full Text
,,,,,,,Details
,,,aq. dodecylamine hydrochloride,,,,"Kolthoff;?Stricks[Journal of Physical Chemistry,?1949, vol. 53, p. 424,427,429,448,449]"
,,,,,,,Full Text
,,,,,,,Details
,,,aq. potassium dodecanoate,,,,"Kolthoff;?Stricks[Journal of Physical Chemistry,?1949, vol. 53, p. 424,427,429,448,449]"
,,,,,,,Full Text
,,,,,,,Details
29.884,in solution,0,methanol,,,,"Freundlich;?Heller[Journal of the American Chemical Society,?1939, vol. 61, p. 2228]"
,,,,,,,Full Text
,,,,,,,Cited 576 timesDetails
34.986,in solution,0,light petroleum,,,,"Freundlich;?Heller[Journal of the American Chemical Society,?1939, vol. 61, p. 2228]"
,,,,,,,Full Text
,,,,,,,Cited 576 timesDetails
,,,,,,,"Hartley[Journal of the Chemical Society,?1938, p. 633,634,638]"
,,,,,,,Full Text
,,,,,,,Details
,,,aq. HCl,,,,"Hartley[Journal of the Chemical Society,?1938, p. 633,634,638]"
,,,,,,,Full Text
,,,,,,,Details
,,,aq. NaOH,,,,"Hartley[Journal of the Chemical Society,?1938, p. 633,634,638]"
,,,,,,,Full Text
,,,,,,,Details
,,,aq. NaCl,,,,"Hartley[Journal of the Chemical Society,?1938, p. 633,634,638]"
,,,,,,,Full Text
,,,,,,,Details
0.00364,in solution,,H2O,,,,"Hartley[Journal of the Chemical Society,?1938, p. 633,634,638]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,,"Hartley[Journal of the Chemical Society,?1938, p. 1968,1974]"
,,,,,,,Full Text
,,,,,,,Details
,,25,"acetone, H2O",,,,"Hartley[Journal of the Chemical Society,?1938, p. 1968,1974]"
,,,,,,,Full Text
,,,,,,,Details
,,25,decane,,,100 g solvent dissolves. 15.6 g Substance.,"Hartley[Journal of the Chemical Society,?1938, p. 1968,1974]"
,,,,,,,Full Text
,,,,,,,Details
,,25,hexadecane,,,100 g solvent dissolves. 12.2 g Substance.,"Hartley[Journal of the Chemical Society,?1938, p. 1968,1974]"
,,,,,,,Full Text
,,,,,,,Details
,,25,benzene,,,100 g solvent dissolves. 35.0 g Substance.,"Hartley[Journal of the Chemical Society,?1938, p. 1968,1974]"
,,,,,,,Full Text
,,,,,,,Details
,,25,acetone,,,100 g solvent dissolves. 45.3 g Substance.,"Hartley[Journal of the Chemical Society,?1938, p. 1968,1974]"
,,,,,,,Full Text
,,,,,,,Details
,,25,pyridine,,,100 g solvent dissolves. 50.9 g Substance.,"Hartley[Journal of the Chemical Society,?1938, p. 1968,1974]"
,,,,,,,Full Text
,,,,,,,Details
,,-33,NH3,,,,"Bergstrom;?Gilkey;?Lung[Industrial and Engineering Chemistry,?1932, vol. 24, p. 57,59]"
,,,,,,,Full Text
,,,,,,,Details
,,25,,,,,"Bergstrom;?Gilkey;?Lung[Industrial and Engineering Chemistry,?1932, vol. 24, p. 57,59]"
,,,,,,,Full Text
,,,,,,,Details
,,18.6,ethanol,,,,"Perschke[Zhurnal Russkago Fiziko-Khimicheskago Obshchestva,?1929, vol. 61, p. 444][Chemisches Zentralblatt,?1930, vol. 101, # I, p. 2]"
,,,,,,,Full Text
,,,,,,,Details
,,29.9,ethanol,,,,"Perschke[Zhurnal Russkago Fiziko-Khimicheskago Obshchestva,?1929, vol. 61, p. 444][Chemisches Zentralblatt,?1930, vol. 101, # I, p. 2]"
,,,,,,,Full Text
,,,,,,,Details
41,in pure solvent,16.2,methanol,,,,"Perschke[Zeitschrift fur Anorganische und Allgemeine Chemie,?1926, vol. 151, p. 248][Zhurnal Russkago Fiziko-Khimicheskago Obshchestva,?1926, vol. 58, p. 505]"
,,,,,,,Full Text
,,,,,,,Details
89,in pure solvent,16.2,hexane,,,,"Perschke[Zeitschrift fur Anorganische und Allgemeine Chemie,?1926, vol. 151, p. 248][Zhurnal Russkago Fiziko-Khimicheskago Obshchestva,?1926, vol. 58, p. 505]"
,,,,,,,Full Text
,,,,,,,Details
553,in solution,14,methanol,,,,"Drucker;?Weissbach[Zeitschrift fur Physikalische Chemie, Stoechiometrie und Verwandtschaftslehre,?1925, vol. 117, p. 239]"
,,,,,,,Full Text
,,,,,,,Details
660,in solution,14,CS2,,,,"Drucker;?Weissbach[Zeitschrift fur Physikalische Chemie, Stoechiometrie und Verwandtschaftslehre,?1925, vol. 117, p. 239]"
,,,,,,,Full Text
,,,,,,,Details
,,14,methanol,,,1 Mol solvent dissolves. 0.122 Mol Substance.,"Drucker;?Weissbach[Zeitschrift fur Physikalische Chemie, Stoechiometrie und Verwandtschaftslehre,?1925, vol. 117, p. 239]"
,,,,,,,Full Text
,,,,,,,Details
,,14,CS2,,,1 Mol solvent dissolves. 0.217 Mol Substance.,"Drucker;?Weissbach[Zeitschrift fur Physikalische Chemie, Stoechiometrie und Verwandtschaftslehre,?1925, vol. 117, p. 239]"
,,,,,,,Full Text
,,,,,,,Details
,,,ethanol,,,100 g solvent dissolves. 9.3 g Substance.at:20-25 degreeC.,"Pucher;?Dehn[Journal of the American Chemical Society,?1921, vol. 43, p. 1755]"
,,,,,,,Full Text
,,,,,,,Details
,,,"ethanol, quinoline",,,at:20-25 degreeC.,"Pucher;?Dehn[Journal of the American Chemical Society,?1921, vol. 43, p. 1755]"
,,,,,,,Full Text
,,,,,,,Details
