"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,solubility order: ethyl acetate > acetone > n-hexane > ethanol > water,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,14.99,ethanol,,,Solubility: 0.00309 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,19.99,ethanol,,,Solubility: 0.00423 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,24.99,ethanol,,,Solubility: 0.0053 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,14.99,hexane,,,Solubility: 0.00597 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,29.99,ethanol,,,Solubility: 0.0068 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,19.99,hexane,,,Solubility: 0.00697 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,24.99,hexane,,,Solubility: 0.00806 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,34.99,ethanol,,,Solubility: 0.0093 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,29.99,hexane,,,Solubility: 0.00943 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,34.99,hexane,,,Solubility: 0.0106 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,39.99,ethanol,,,Solubility: 0.0114 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,44.99,ethanol,,,Solubility: 0.0121 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,39.99,hexane,,,Solubility: 0.0128 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,49.99,ethanol,,,Solubility: 0.0148 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,44.99,hexane,,,Solubility: 0.0149 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,49.99,hexane,,,Solubility: 0.0176 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,54.99,ethanol,,,Solubility: 0.0203 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,54.99,hexane,,,Solubility: 0.0224 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,59.99,ethanol,,,Solubility: 0.0234 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
,in solution,59.99,hexane,,,Solubility: 0.0256 molpercent,"Jin, Ju-Qing;?Rao, Yong;?Bian, Xiao-Li;?Zeng, Ai-Guo;?Yang, Guang-De[Journal of Solution Chemistry,?2013, vol. 42, # 5, p. 1018 - 1027]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
