"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,poor solubility in water,"Qin, Ling;?Zeng, Si-Ying;?Zuo, Wei-Juan;?Liu, Qing-He;?Li, Jin;?Ni, Gang;?Wang, Yan-Qing;?Zhang, Ming-Dao[Polyhedron,?2017, vol. 121, p. 231 - 235]"
,,,,,,,Full Text
,,,,,,,Cited 19 timesDetailsAbstract
,,,,,,insoluble in water,"Bogdanov, Andrei V.;?Pashirova, Tatiana N.;?Musin, Lenar I.;?Krivolapov, Dmitry B.;?Zakharova, Lucia Ya.;?Mironov, Vladimir F.;?Konovalov, Alexander I.[Chemical Physics Letters,?2014, vol. 594, p. 69 - 73]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,in pure solvent,25,cyclohexanone,,Paragraph 0054,Solubility: 6.4 weight percent,"Current Patent Assignee:?DOW GLOBAL TECHNOLOGIES?- WO2014/172922,?2014, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,Loeslichkeit in Kautschuk bei 30-80grad,"Martin et al.[Transactions of the Faraday Society,?1970, vol. 66, p. 2340]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetails
