"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,18,methanol,,,100 g solvent dissolves. 49.6 g Substance.,"Dimroth[Justus Liebigs Annalen der Chemie,?1913, vol. 399, p. 108]"
,,,,,,,Full Text
,,,,,,,Details
,,18,phenylmethanol,,,100 g solvent dissolves. 50.6 g Substance.,"Dimroth[Justus Liebigs Annalen der Chemie,?1913, vol. 399, p. 108]"
,,,,,,,Full Text
,,,,,,,Details
,,18,acetone,,,100 g solvent dissolves. 45.7 g Substance.,"Dimroth[Justus Liebigs Annalen der Chemie,?1913, vol. 399, p. 108]"
,,,,,,,Full Text
,,,,,,,Details
,,18,ethyl acetate,,,100 g solvent dissolves. 26.2 g Substance.,"Dimroth[Justus Liebigs Annalen der Chemie,?1913, vol. 399, p. 108]"
,,,,,,,Full Text
,,,,,,,Details
,,18,ethyl nitrate,,,100 g solvent dissolves. 33.2 g Substance.,"Dimroth[Justus Liebigs Annalen der Chemie,?1913, vol. 399, p. 108]"
,,,,,,,Full Text
,,,,,,,Details
,,18,nitrobenzene,,,100 g solvent dissolves. 35.8 g Substance.,"Dimroth[Justus Liebigs Annalen der Chemie,?1913, vol. 399, p. 108]"
,,,,,,,Full Text
,,,,,,,Details
