"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,scarely soluble in water,"Kiss, L¨¢szl¨®;?Ameen, Hiba Mohamed;?Lemli, Be¨¢ta;?Kuns¨¢gi-M¨¢t¨¦, S¨¢ndor[Journal of Solution Chemistry,?2021, vol. 50, # 1, p. 147 - 159]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1065.16,in pure solvent,24.99,"1,2-Propanediol, water","propane-1,2-diol (10 molpercent); water (90 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
2220.19,in pure solvent,24.99,"1,2-Propanediol, water","propane-1,2-diol (20 molpercent); water (80 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
251.093,in pure solvent,24.99,water,water (100 molpercent),,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
3568.16,in pure solvent,24.99,"1,2-Propanediol, water","propane-1,2-diol (30 molpercent); water (70 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
4440.37,in pure solvent,24.99,"1,2-Propanediol, water","propane-1,2-diol (40 molpercent); water (60 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
5497.61,in pure solvent,24.99,"1,2-Propanediol, water","propane-1,2-diol (50 molpercent); water (50 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
6607.7,in pure solvent,24.99,"1,2-Propanediol, water","propane-1,2-diol (60 molpercent); water (40 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
7215.61,in pure solvent,24.99,"1,2-Propanediol, water","propane-1,2-diol (70 molpercent); water (30 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
7321.33,in pure solvent,24.99,"1,2-Propanediol, water","propane-1,2-diol (80 molpercent); water (20 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
7559.21,in pure solvent,24.99,"1,2-Propanediol, water","propane-1,2-diol (90 molpercent); water (10 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
7823.52,in pure solvent,24.99,"1,2-Propanediol","propane-1,2-diol (100 molpercent)",,,"Del Mar Mu?oz, Mar¨ªa;?Delgado, Daniel R.;?Pe?a, Mar¨ªa ?ngeles;?Jouyban, Abolghasem;?Mart¨ªnez, Fleming[Journal of Molecular Liquids,?2015, vol. 204, p. 132 - 136]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
0.26,in solution,25,water,,,,"Zoppi, Ariana;?Quevedo, Mario A.;?Delrivo, Alicia;?Longhi, Marcela R.[Journal of Pharmaceutical Sciences,?2010, vol. 99, # 7, p. 3166 - 3176]"
,,,,,,,Full Text
,,,,,,,Cited 33 timesDetailsAbstract
59.9697,in pure solvent,30,H2O,,,diagram,"Zhang, Geoff G. Z.;?Gu, Chonghui;?Zell, Mark T.;?Todd Burkhardt;?Munson, Eric J.;?Grant, David J. W.[Journal of Pharmaceutical Sciences,?2002, vol. 91, # 4, p. 1089 - 1100]"
,,,,,,,Full Text
,,,,,,,Cited 120 timesDetailsAbstract
53.6793,in pure solvent,30,H2O,,,diagram,"Zhang, Geoff G. Z.;?Gu, Chonghui;?Zell, Mark T.;?Todd Burkhardt;?Munson, Eric J.;?Grant, David J. W.[Journal of Pharmaceutical Sciences,?2002, vol. 91, # 4, p. 1089 - 1100]"
,,,,,,,Full Text
,,,,,,,Cited 120 timesDetailsAbstract
,in pure solvent,25,"octan-1-ol, H2O",water satd. octanol,,"temperature dependence, Solubility: 0.1135 mol/1000mol","Martinez, Fleming;?Gomez, Alfredo[Journal of Solution Chemistry,?2001, vol. 30, # 10, p. 909 - 923]"
,,,,,,,Full Text
,,,,,,,Cited 124 timesDetailsAbstract
,in pure solvent,25,"H2O, octan-1-ol",octanol satd. water,,"temperature dependence. Object(s) of Study: in the presence of electrolytes, Solubility: 0.01364 mol/1000mol","Martinez, Fleming;?Gomez, Alfredo[Journal of Solution Chemistry,?2001, vol. 30, # 10, p. 909 - 923]"
,,,,,,,Full Text
,,,,,,,Cited 124 timesDetailsAbstract
,in pure solvent,25,octan-1-ol,,,"temperature dependence, Solubility: 0.000689 mol/1000mol","Martinez, Fleming;?Gomez, Alfredo[Journal of Solution Chemistry,?2001, vol. 30, # 10, p. 909 - 923]"
,,,,,,,Full Text
,,,,,,,Cited 124 timesDetailsAbstract
,in pure solvent,25,"H2O, various solvent(s)",,,"temperature dependence, Solubility: 0.0145 mol/1000mol","Martinez, Fleming;?Gomez, Alfredo[Journal of Solution Chemistry,?2001, vol. 30, # 10, p. 909 - 923]"
,,,,,,,Full Text
,,,,,,,Cited 124 timesDetailsAbstract
0.116292,in pure solvent,25,octan-1-ol,,,temperature dependence,"Martinez, Fleming;?Gomez, Alfredo[Journal of Solution Chemistry,?2001, vol. 30, # 10, p. 909 - 923]"
,,,,,,,Full Text
,,,,,,,Cited 124 timesDetailsAbstract
0.211704,in pure solvent,25,"H2O, various solvent(s)",,,temperature dependence,"Martinez, Fleming;?Gomez, Alfredo[Journal of Solution Chemistry,?2001, vol. 30, # 10, p. 909 - 923]"
,,,,,,,Full Text
,,,,,,,Cited 124 timesDetailsAbstract
0.199018,in solution,25,"H2O, octan-1-ol",H2O sat. w/n-C8H17OH,,temperature dependence. Object(s) of Study: in the presence of electrolytes,"Martinez, Fleming;?Gomez, Alfredo[Journal of Solution Chemistry,?2001, vol. 30, # 10, p. 909 - 923]"
,,,,,,,Full Text
,,,,,,,Cited 124 timesDetailsAbstract
0.251085,in solution,25,"octan-1-ol, H2O",n-C8H17OH sat. w H2O,,temperature dependence,"Martinez, Fleming;?Gomez, Alfredo[Journal of Solution Chemistry,?2001, vol. 30, # 10, p. 909 - 923]"
,,,,,,,Full Text
,,,,,,,Cited 124 timesDetailsAbstract
4.2288,in pure solvent,24,acetonitrile,,,,"Gu, Chong-Hui;?Young, Victor;?Grant, David J. W.[Journal of Pharmaceutical Sciences,?2001, vol. 90, # 11, p. 1878 - 1890]"
,,,,,,,Full Text
