"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,37,aq. phosphate buffer,,,Solubility: 0.56 g/l,"Gunnam, Anilkumar;?Nangia, Ashwini K.[Crystal Growth and Design,?2023, vol. 23, # 6, p. 4198 - 4213]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in pure solvent,37,aq. phosphate buffer,,,Solubility: 0.57 g/l,"Gunnam, Anilkumar;?Nangia, Ashwini K.[Crystal Growth and Design,?2023, vol. 23, # 6, p. 4198 - 4213]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,,,,,very soluble in water,"Soni, Subodh;?Chahar, Manjeet;?Priyanka;?Chugh, Pooja;?Sharma, Aastha;?Narasimhan, Balasubramanian;?Mohan, Hari[Microbial Pathogenesis,?2023, vol. 185, art. no. 106398]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
0.466,in pure solvent,37,aq. phosphate buffer,,,,"O'Malley, Ciaran;?McArdle, Patrick;?Erxleben, Andrea[Crystal Growth and Design,?2022, vol. 22, # 5, p. 3060 - 3071]"
,,,,,,,Full Text
,,,,,,,Cited 11 timesDetailsAbstract
,,,,,,Very soluble in water,"Marc, Gabriel;?Araniciu, C?t?lin;?Oniga, Smaranda Dafina;?Vlase, Laurian;?P?rn?u, Adrian;?Nad??, George Cosmin;?Novac, Cristiana ?tefania;?(°≠)?M?ru?escu, Lumini?a;?Oniga, Ovidiu[Molecules,?2019, vol. 24, # 21, art. no. 3959]"
,,,,,,,Full Text
,,,,,,,Cited 23 timesDetailsAbstract
,,,,,Paragraph 0057,"pls enter soluble in saline solution, low soluble in distilled water","Current Patent Assignee:?SUNCHON NATIONAL UNIVERSITY?- KR101776696,?2017, B1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,title compound is readily soluble in DMSO and partially dissolved in methanol,"Chugunova, Elena;?Akylbekov, Nurgali;?Bulatova, Adelya;?Gavrilov, Nikolai;?Voloshina, Alexandra;?Kulik, Natalia;?Zobov, Vladimir;?Dobrynin, Alexey;?Syakaev, Victor;?Burilov, Alexander[European Journal of Medicinal Chemistry,?2016, vol. 116, p. 165 - 172]"
,,,,,,,Full Text
,,,,,,,Cited 32 timesDetailsAbstract
0.00053,in pure solvent,24.99,aq. buffer,,,,"Blokhina, Svetlana V.;?Sharapova, Angelica V.;?Ol'khovich, Marina V.;?Volkova, ß¥atyana V.;?Perlovich, German L.[European Journal of Pharmaceutical Sciences,?2016, vol. 93, p. 29 - 37]"
,,,,,,,Full Text
,,,,,,,Cited 63 timesDetailsAbstract
0.00084,in pure solvent,36.99,aq. buffer,,,,"Blokhina, Svetlana V.;?Sharapova, Angelica V.;?Ol'khovich, Marina V.;?Volkova, ß¥atyana V.;?Perlovich, German L.[European Journal of Pharmaceutical Sciences,?2016, vol. 93, p. 29 - 37]"
,,,,,,,Full Text
,,,,,,,Cited 63 timesDetailsAbstract
,,,,,,Solubility: 0.39 g/100g solvent,"Loh, Gabriel Onn Kit;?Tan, Yvonne Tze Fung;?Peh, Kok Khiang[Carbohydrate Polymers,?2014, vol. 101, # 1, p. 505 - 510]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.38,in pure solvent,25,water,,,,"Huang, Xian-Feng;?Zhang, Zhi-Hui;?Zhang, Qing-Qing;?Wang, Ling-Zhu;?He, Ming-Yang;?Chen, Qun;?Song, Guo-Qiang;?Wei, Lin;?Wang, Fan;?Du, Miao[CrystEngComm,?2013, vol. 15, # 30, p. 6090 - 6100]"
,,,,,,,Full Text
,,,,,,,Cited 34 timesDetailsAbstract
,in pure solvent,22,aq. phosphate buffer,,,Solubility: 640.0 not given,"Zhou, Liping;?Yang, Linhong;?Tilton, Suzanne;?Wang, Jianling[Journal of Pharmaceutical Sciences,?2007, vol. 96, # 11, p. 3052 - 3071]"
,,,,,,,Full Text
,,,,,,,Cited 122 timesDetailsAbstract
,in pure solvent,22,aq. phosphate buffer,,,Solubility: 583.0 not given,"Zhou, Liping;?Yang, Linhong;?Tilton, Suzanne;?Wang, Jianling[Journal of Pharmaceutical Sciences,?2007, vol. 96, # 11, p. 3052 - 3071]"
,,,,,,,Full Text
,,,,,,,Cited 122 timesDetailsAbstract
4.5,in pure solvent,25,CH2Cl2,,,,"Puechagut, Hector Gabriel;?Bianchotti, Jorge;?Chiale, Carlos A.[Journal of Pharmaceutical Sciences,?1998, vol. 87, # 4, p. 519 - 523]"
,,,,,,,Full Text
,,,,,,,Cited 42 timesDetailsAbstract
5.1,in pure solvent,25,acetone,,,,"Puechagut, Hector Gabriel;?Bianchotti, Jorge;?Chiale, Carlos A.[Journal of Pharmaceutical Sciences,?1998, vol. 87, # 4, p. 519 - 523]"
,,,,,,,Full Text
,,,,,,,Cited 42 timesDetailsAbstract
15.3,in pure solvent,25,aq. NH3,,,,"Puechagut, Hector Gabriel;?Bianchotti, Jorge;?Chiale, Carlos A.[Journal of Pharmaceutical Sciences,?1998, vol. 87, # 4, p. 519 - 523]"
,,,,,,,Full Text
,,,,,,,Cited 42 timesDetailsAbstract
0.35,in solution,23,H2O,,,,"McGuirk;?Jefson;?Mann;?Elliott;?Chang;?Cisek;?Cornell;?(°≠)?Silvia;?Weber[Journal of Medicinal Chemistry,?1992, vol. 35, # 4, p. 611 - 620]"
,,,,,,,Full Text
,,,,,,,Cited 45 timesDetailsAbstract
0.19,in pure solvent,25,H2O,,,,"Alexander;?Fromtling;?Bland;?Pelak;?Gilfillan[Journal of Medicinal Chemistry,?1991, vol. 34, # 1, p. 78 - 81]"
,,,,,,,Full Text
,,,,,,,Cited 49 timesDetailsAbstract
