"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,9.99,acetonitrile,,,Solubility: 0.0218 molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,14.99,acetonitrile,,,Solubility: 0.029 molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,19.99,acetonitrile,,,Solubility: 0.0382 molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,24.99,acetonitrile,,,Solubility: 0.0485 molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,29.99,acetonitrile,,,Solubility: 0.0609 molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,34.99,acetonitrile,,,Solubility: 0.0755 molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,39.99,acetonitrile,,,Solubility: 0.0908 molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,44.99,acetonitrile,,,Solubility: 0.11molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,49.99,acetonitrile,,,Solubility: 0.131 molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,9.99,toluene,,,Solubility: 0.17molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
,,14.99,toluene,,,Solubility: 0.21 molpercent,"Yang, Zehui;?Shao, Danfeng;?Zhou, Guoquan[Journal of Chemical and Engineering Data,?2019, vol. 64, # 12, p. 5057 - 5065]"
,,,,,,,Full Text
,,,,,,,Cited 18 timesDetailsAbstract
