"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.00393238,in pure solvent,,water,,,,"Yadav, Toshikee;?Tikariha, Deepti;?Lakra, Jyotsna;?Satnami, Manmohan L.;?Tiwari, Amit K.;?Saha, Subit K.;?Ghosh, Kallol K.[Journal of Molecular Liquids,?2015, vol. 204, p. 216 - 221]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
,in solution,9.84,acetone,,,Solubility: 4.168 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,14.84,acetone,,,Solubility: 4.911 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,19.84,acetone,,,Solubility: 5.867 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,24.84,acetone,,,Solubility: 6.92 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,29.84,acetone,,,Solubility: 7.881 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,34.94,acetone,,,Solubility: 9.545 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,39.84,acetone,,,Solubility: 11.32 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,44.84,acetone,,,Solubility: 13.58 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,49.84,acetone,,,Solubility: 17.26 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,9.84,2-methyl-propan-1-ol,,,Solubility: 0.926 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,14.94,2-methyl-propan-1-ol,,,Solubility: 1.282 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,20.04,2-methyl-propan-1-ol,,,Solubility: 1.618 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,24.84,2-methyl-propan-1-ol,,,Solubility: 2.046 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,30.14,2-methyl-propan-1-ol,,,Solubility: 2.529 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,34.84,2-methyl-propan-1-ol,,,Solubility: 2.975 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,39.94,2-methyl-propan-1-ol,,,Solubility: 3.533 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,44.84,2-methyl-propan-1-ol,,,Solubility: 4.345 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,49.84,2-methyl-propan-1-ol,,,Solubility: 5.65 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,9.84,benzene,,,Solubility: 11.8 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,14.84,benzene,,,Solubility: 13.12 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,20.04,benzene,,,Solubility: 14.24 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,24.84,benzene,,,Solubility: 16.23 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,29.84,benzene,,,Solubility: 18.73 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,35.14,benzene,,,Solubility: 21.48 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,39.84,benzene,,,Solubility: 24.37 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,44.84,benzene,,,Solubility: 27.69 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,49.84,benzene,,,Solubility: 31.21 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,9.84,m-xylene,,,Solubility: 10.86 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,14.84,m-xylene,,,Solubility: 12.91 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,19.84,m-xylene,,,Solubility: 14.32 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,24.84,m-xylene,,,Solubility: 16.28 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,29.94,m-xylene,,,Solubility: 18.83 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,35.04,m-xylene,,,Solubility: 21.64 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,39.84,m-xylene,,,Solubility: 24.54 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,44.84,m-xylene,,,Solubility: 28.05 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,49.84,m-xylene,,,Solubility: 32.1 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,9.84,propan-1-ol,,,Solubility: 0.879 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,14.94,propan-1-ol,,,Solubility: 1.198 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,20.04,propan-1-ol,,,Solubility: 1.443 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,24.84,propan-1-ol,,,Solubility: 1.752 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,30.14,propan-1-ol,,,Solubility: 2.075 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,34.84,propan-1-ol,,,Solubility: 2.457 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,39.94,propan-1-ol,,,Solubility: 2.951 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,44.84,propan-1-ol,,,Solubility: 3.64 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,49.84,propan-1-ol,,,Solubility: 4.643 molpercent,"Wang, Zhanzhong;?Jiang, Pingping[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 150 - 151]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
,in solution,4.94,ethanol,,,Solubility: 0.4622 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,10.37,ethanol,,,Solubility: 0.5785 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,15.09,ethanol,,,Solubility: 0.7093 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,20.09,ethanol,,,Solubility: 0.8913 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,25.04,ethanol,,,Solubility: 1.0793 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,30.04,ethanol,,,Solubility: 1.3276 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,35.04,ethanol,,,Solubility: 1.6519 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,39.89,ethanol,,,Solubility: 1.9700 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,45.09,ethanol,,,Solubility: 1.4486 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,49.99,ethanol,,,Solubility: 1.9553 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,5.14,propan-2-ol,,,Solubility: 0.4683 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,9.91,propan-2-ol,,,Solubility: 0.5923 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,15.17,propan-2-ol,,,Solubility: 0.7701 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,20.04,propan-2-ol,,,Solubility: 0.9671 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,24.91,propan-2-ol,,,Solubility: 1.1972 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
,in solution,30.14,propan-2-ol,,,Solubility: 1.5233 molpercent,"He, Fang;?Liu, Pengbiao[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2536 - 2537]"
,,,,,,,Full Text
,,,,,,,Cited 2 timesDetailsAbstract
