"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,27,H2O,,,100 g solvent dissolves. 0.01 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,H2O,,,100 g solvent dissolves. 0.02 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,100,H2O,,,100 g solvent dissolves. 0.1 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,CHCl3,,,100 g solvent dissolves. 0.23 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,CHCl3,,,100 g solvent dissolves. 0.30 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,CCl4,,,100 g solvent dissolves. 0.02 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,CCl4,,,100 g solvent dissolves. 0.06 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,benzene,,,100 g solvent dissolves. 0.53 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,benzene,,,100 g solvent dissolves. 0.87 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,toluene,,,100 g solvent dissolves. 0.67 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,toluene,,,100 g solvent dissolves. 1.35 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,methanol,,,100 g solvent dissolves. 1.68 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,methanol,,,100 g solvent dissolves. 3.06 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,ethanol,,,100 g solvent dissolves. 0.59 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,ethanol,,,100 g solvent dissolves. 0.91 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,aq. ethanol (96percent),,,100 g solvent dissolves. 0.45 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,aq. ethanol (96percent),,,100 g solvent dissolves. 1.25 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,diethyl ether,,,100 g solvent dissolves. 0.26 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,acetone,,,100 g solvent dissolves. 19.99 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,acetone,,,100 g solvent dissolves. 36.08 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,ethyl acetate,,,100 g solvent dissolves. 6.70 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,50,ethyl acetate,,,100 g solvent dissolves. 7.46 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,CS2,,,100 g solvent dissolves. 0.02 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
,,23,pyridine,,,100 g solvent dissolves. 45.41 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5> 16, p. 205]"
,,,,,,,Full Text
,,,,,,,Details
