"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
12.0779,in solution,26.64,methanol,,,,"Chen, Wei;?Su, Baogen;?Xing, Huabin;?Yang, Yiwen;?Ren, Qilong[Journal of Chemical and Engineering Data,?2008, vol. 53, # 11, p. 2715 - 2717]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
13.2587,in solution,30.14,methanol,,,,"Chen, Wei;?Su, Baogen;?Xing, Huabin;?Yang, Yiwen;?Ren, Qilong[Journal of Chemical and Engineering Data,?2008, vol. 53, # 11, p. 2715 - 2717]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
15.632,in solution,34.64,methanol,,,,"Chen, Wei;?Su, Baogen;?Xing, Huabin;?Yang, Yiwen;?Ren, Qilong[Journal of Chemical and Engineering Data,?2008, vol. 53, # 11, p. 2715 - 2717]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
17.5245,in solution,38.34,methanol,,,,"Chen, Wei;?Su, Baogen;?Xing, Huabin;?Yang, Yiwen;?Ren, Qilong[Journal of Chemical and Engineering Data,?2008, vol. 53, # 11, p. 2715 - 2717]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
21.494,in solution,41.94,methanol,,,,"Chen, Wei;?Su, Baogen;?Xing, Huabin;?Yang, Yiwen;?Ren, Qilong[Journal of Chemical and Engineering Data,?2008, vol. 53, # 11, p. 2715 - 2717]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
25.7867,in solution,45.64,methanol,,,,"Chen, Wei;?Su, Baogen;?Xing, Huabin;?Yang, Yiwen;?Ren, Qilong[Journal of Chemical and Engineering Data,?2008, vol. 53, # 11, p. 2715 - 2717]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
