"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,20,water,,,Solubility: 0.0011 g/100g solvent,"Assis, Gabriel Pereira;?Garcia, Rafael Henrique Lazzari;?Derenzo, Silas;?Bernardo, Andr¨¦[Journal of Molecular Liquids,?2021, vol. 323, art. no. 114617]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,in pure solvent,25,water,,,Solubility: 0.0016 g/100g solvent,"Assis, Gabriel Pereira;?Garcia, Rafael Henrique Lazzari;?Derenzo, Silas;?Bernardo, Andr¨¦[Journal of Molecular Liquids,?2021, vol. 323, art. no. 114617]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,in pure solvent,30,"1,2-Propanediol, water","propane-1,2-diol (50 vol percent); water (50 vol percent)",,Solubility: 0.00164 g/100g solvent,"Assis, Gabriel Pereira;?Garcia, Rafael Henrique Lazzari;?Derenzo, Silas;?Bernardo, Andr¨¦[Journal of Molecular Liquids,?2021, vol. 323, art. no. 114617]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,in pure solvent,30,water,,,Solubility: 0.002 g/100g solvent,"Assis, Gabriel Pereira;?Garcia, Rafael Henrique Lazzari;?Derenzo, Silas;?Bernardo, Andr¨¦[Journal of Molecular Liquids,?2021, vol. 323, art. no. 114617]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,in pure solvent,35,water,,,Solubility: 0.0021 g/100g solvent,"Assis, Gabriel Pereira;?Garcia, Rafael Henrique Lazzari;?Derenzo, Silas;?Bernardo, Andr¨¦[Journal of Molecular Liquids,?2021, vol. 323, art. no. 114617]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,in pure solvent,20,"1,2-Propanediol, water","propane-1,2-diol (25 vol percent); water (75 vol percent)",,Solubility: 0.0029 g/100g solvent,"Assis, Gabriel Pereira;?Garcia, Rafael Henrique Lazzari;?Derenzo, Silas;?Bernardo, Andr¨¦[Journal of Molecular Liquids,?2021, vol. 323, art. no. 114617]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,in pure solvent,45,water,,,Solubility: 0.0032 g/100g solvent,"Assis, Gabriel Pereira;?Garcia, Rafael Henrique Lazzari;?Derenzo, Silas;?Bernardo, Andr¨¦[Journal of Molecular Liquids,?2021, vol. 323, art. no. 114617]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
,in pure solvent,25,"1,2-Propanediol, water","propane-1,2-diol (25 vol percent); water (75 vol percent)",,Solubility: 0.0034 g/100g solvent,"Assis, Gabriel Pereira;?Garcia, Rafael Henrique Lazzari;?Derenzo, Silas;?Bernardo, Andr¨¦[Journal of Molecular Liquids,?2021, vol. 323, art. no. 114617]"
,,,,,,,Full Text
