"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.000985,in solution,25,H2O,,,,"Bahri, H.;?Lelievre, J.;?Lemordant, D.[Journal de Chimie Physique et de Physico-Chimie Biologique,?1987, vol. 84, # 1, p. 99 - 106]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,in pure solvent,,,,,,"Lemordant, Daniel;?Gaboriaud, Rene[Journal de Chimie Physique et de Physico-Chimie Biologique,?1981, vol. 78, # 5, p. 427 - 436]"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,"Loesl.im bas.Ethylenglykol- u.Propylenglykolloesungen (bei 30+-0,5grad)","Chattanathan;?Kalidas[Bulletin of the Chemical Society of Japan,?1971, vol. 44, p. 1004]"
,,,,,,,Full Text
,,,,,,,Details
,,15,H2O,,,100 g solvent dissolves. 0.0038 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,H2O,,,100 g solvent dissolves. 0.0084 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,100,H2O,,,100 g solvent dissolves. 0.0143 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,methanol,,,100 g solvent dissolves. 0.126 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,methanol,,,100 g solvent dissolves. 0.611 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,ethanol,,,100 g solvent dissolves. 0.130 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,ethanol,,,100 g solvent dissolves. 0.479 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,aq. ethanol (96percent),,,100 g solvent dissolves. 0.088 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,aq. ethanol (96percent),,,100 g solvent dissolves. 0.460 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,diethyl ether,,,100 g solvent dissolves. 0.378 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,30,diethyl ether,,,100 g solvent dissolves. 0.728 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,CHCl3,,,100 g solvent dissolves. 5.826 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,CHCl3,,,100 g solvent dissolves. 10.641 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,CCl4,,,100 g solvent dissolves. 0.168 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,CCl4,,,100 g solvent dissolves. 0.652 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,acetone,,,100 g solvent dissolves. 3.765 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,acetone,,,100 g solvent dissolves. 11.600 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,ethyl acetate,,,100 g solvent dissolves. 2.319 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,ethyl acetate,,,100 g solvent dissolves. 6.105 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,CS2,,,100 g solvent dissolves. 0.245 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,30,CS2,,,100 g solvent dissolves. 0.567 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,benzene,,,100 g solvent dissolves. 2.118 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,benzene,,,100 g solvent dissolves. 6.977 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,toluene,,,100 g solvent dissolves. 1.919 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,toluene,,,100 g solvent dissolves. 6.352 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,15,pyridine,,,100 g solvent dissolves. 11.349 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,50,pyridine,,,100 g solvent dissolves. 28.665 g Substance.,"Desvergnes[Le Moniteur scientifique (Paris), vol. <5>15, p. 149][Chemisches Zentralblatt,?1925, vol. 96, # II, p. 2051]"
,,,,,,,Full Text
,,,,,,,Details
,,,toluene,,,1 part(s) of substance.dissolves in:9 parts of solvent.in boiling solvent.,"Juillard[Bulletin de la Societe Chimique de France,?1905, vol. <3>33, p. 1173]"
,,,,,,,Full Text
,,,,,,,Details
,,21,toluene,,,Solubility :1.918 percent.,"Juillard[Bulletin de la Societe Chimique de France,?1905, vol. <3>33, p. 1173]"
,,,,,,,Full Text
,,,,,,,Details
,,22,acetone,,,Solubility :4.01 percent.,"Juillard[Bulletin de la Societe Chimique de France,?1905, vol. <3>33, p. 1173]"
,,,,,,,Full Text
,,,,,,,Details
