"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,25,isopropyl alcohol,,Paragraph 0115; 0119,Solubility: 34300 mg/l,"Current Patent Assignee:?OLEMA PHARMACEUTICALS?- WO2023/221123,?2023, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,37,,,Paragraph 0095-0099,soluble in sodium dodecyl sulfate,"Current Patent Assignee:?ACADEMY OF MILITARY MEDICAL SCIENCES?- CN115141136,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,soluble in D2O,"Zhang, Yuan-Yuan;?Zhang, Jie;?Zhang, Wen-Xuan;?Wang, Yue;?Wang, Ying-Hong;?Yang, Qing-Yun;?Wu, Song[Molecules,?2021, vol. 26, # 12]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,,,,,,good solubility in some general organic solvents including the alcohols of CH3OH and C2H5OH and the haloalkanes of CH2Cl2?and CHCl3,"Hu, Kaikai;?Jin, Shouwen;?Li, Minghui;?Li, Xiaoliang;?Lin, Zhihao;?Liu, Bin;?Wang, Daqi[Journal of Molecular Structure,?2020, vol. 1220]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
4.3,in pure solvent,20,water,,,,"Halder, Shimul;?Tabata, Aiko;?Seto, Yoshiki;?Sato, Hideyuki;?Onoue, Satomi[Biopharmaceutics and Drug Disposition,?2018, vol. 39, # 4, p. 232 - 242]"
,,,,,,,Full Text
,,,,,,,Cited 9 timesDetailsAbstract
6,in pure solvent,30,water,,,,"Mannava, M. K. Chaitanya;?Suresh, Kuthuru;?Nangia, Ashwini[Crystal Growth and Design,?2016, vol. 16, # 3, p. 1591 - 1598]"
,,,,,,,Full Text
,,,,,,,Cited 50 timesDetailsAbstract
6.1,in pure solvent,25,water,,,,"Das, Ratul Kumar;?Brar, Satinder Kaur;?Verma, Mausam[RSC Advances,?2016, vol. 6, # 31, p. 25829 - 25836]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,,,,,,soluble in methanol,"Bek?;?Bats;?Schmidt[Journal of Coordination Chemistry,?2015, vol. 68, # 1, p. 118 - 129]"
,,,,,,,Full Text
,,,,,,,Cited 4 timesDetailsAbstract
35,in pure solvent,25,ethanol,,,,"Batisai, Eustina;?Ayamine, Alban;?Kilinkissa, Ornella E. Y.;?Bthori, Nikoletta B.[CrystEngComm,?2014, vol. 16, # 43, p. 9992 - 9998]"
,,,,,,,Full Text
,,,,,,,Cited 45 timesDetailsAbstract
42,in pure solvent,25,water,,,,"Batisai, Eustina;?Ayamine, Alban;?Kilinkissa, Ornella E. Y.;?Bthori, Nikoletta B.[CrystEngComm,?2014, vol. 16, # 43, p. 9992 - 9998]"
,,,,,,,Full Text
,,,,,,,Cited 45 timesDetailsAbstract
6.3,in pure solvent,,water,,,,"Yan, Yan;?Chen, Jia-Mei;?Lu, Tong-Bu[CrystEngComm,?2013, vol. 15, # 33, p. 6457 - 6460]"
,,,,,,,Full Text
,,,,,,,Cited 103 timesDetailsAbstract
,in pure solvent,70,ethanol,,,Solubility: Ca. 11 weight percent,"Quon, Justin L.;?Zhang, Haitao;?Alvarez, Alejandro;?Evans, James;?Myerson, Allan S.;?Trout, Bernhardt L.[Crystal Growth and Design,?2012, vol. 12, # 6, p. 3036 - 3044]"
,,,,,,,Full Text
,,,,,,,Cited 122 timesDetailsAbstract
,in pure solvent,60,isopropyl alcohol,,,Solubility: >50 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,60,butanone,,,Solubility: Ca.20 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,60,tetrahydrofuran,,,Solubility: >50 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,60,methanol,,,Solubility: >50 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,60,"ethanol, water",ethanol (96 percent); water (4 percent),,Solubility: >50 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,60,acetonitrile,,,Solubility: Ca.10 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,60,"1,2-dichloro-ethane",,,Solubility: <8 mg/g solvent,"Li, Zhibin;?Yang, Bing-Shiou;?Jiang, Mo;?Eriksson, Magnus;?Spinelli, Earl;?Yee, Nathan;?Senanayake, Chris[Organic Process Research and Development,?2009, vol. 13, # 6, p. 1307 - 1314]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in solution,5.84,propan-1-ol,,,Solubility: 0.847 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,11.84,propan-1-ol,,,Solubility: 1.025 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,17.84,propan-1-ol,,,Solubility: 1.217 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,23.84,propan-1-ol,,,Solubility: 1.425 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,29.84,propan-1-ol,,,Solubility: 1.648 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,35.84,propan-1-ol,,,Solubility: 1.891 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,41.84,propan-1-ol,,,Solubility: 2.152 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,47.84,propan-1-ol,,,Solubility: 2.433 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,53.84,propan-1-ol,,,Solubility: 2.736 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,59.84,propan-1-ol,,,Solubility: 3.062 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,65.84,propan-1-ol,,,Solubility: 3.546 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,71.84,propan-1-ol,,,Solubility: 3.984 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,78.64,propan-1-ol,,,Solubility: 4.859 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,5.84,isopropyl alcohol,,,Solubility: 1.092 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,11.84,isopropyl alcohol,,,Solubility: 1.378 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,17.84,isopropyl alcohol,,,Solubility: 1.685 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,23.84,isopropyl alcohol,,,Solubility: 2.023 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,29.84,isopropyl alcohol,,,Solubility: 2.359 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,35.84,isopropyl alcohol,,,Solubility: 2.725 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,41.84,isopropyl alcohol,,,Solubility: 3.097 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,47.84,isopropyl alcohol,,,Solubility: 3.492 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,53.84,isopropyl alcohol,,,Solubility: 3.91 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,59.84,isopropyl alcohol,,,Solubility: 4.348 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,68.84,isopropyl alcohol,,,Solubility: 5.379 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,77.84,isopropyl alcohol,,,Solubility: 6.562 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,5.84,ethanol,,,Solubility: 1.256 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,11.84,ethanol,,,Solubility: 1.403 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,17.84,ethanol,,,Solubility: 1.568 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,23.84,ethanol,,,Solubility: 1.783 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,29.84,ethanol,,,Solubility: 2.05 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,35.84,ethanol,,,Solubility: 2.328 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,41.84,ethanol,,,Solubility: 2.666 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
,,,,,,,Cited 27 timesDetailsAbstract
,in solution,47.84,ethanol,,,Solubility: 3.049 molpercent,"Dang, Leping;?Du, Weiwei;?Black, Simon;?Wei, Hongyuan[Journal of Chemical and Engineering Data,?2009, vol. 54, # 11, p. 3112 - 3113]"
,,,,,,,Full Text
