"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.02,in pure solvent,20,water,,Paragraph 0221,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1,in pure solvent,20,tetrahydrofuran,,Paragraph 0222,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1,in pure solvent,20,methanol,,Paragraph 0222,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1,in pure solvent,20,diethyl ether,,Paragraph 0222,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1,in pure solvent,20,dichloromethane,,Paragraph 0222,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1,in pure solvent,20,ethyl acetate,,Paragraph 0222,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1,in pure solvent,20,acetone,,Paragraph 0222,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
1,in pure solvent,20,acetonitrile,,Paragraph 0222,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
26,in pure solvent,20,"N,N,N,N,N,N-hexamethylphosphoric triamide",,Paragraph 0222,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
54,in pure solvent,20,"2,2,2-trifluoroethanol",,Paragraph 0222,,"Current Patent Assignee:?MELINTA SUBSIDIARY?- WO2017/200979,?2017, A1"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
