"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in solution,9.99,methanol,,,Solubility: 1.621 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,14.99,methanol,,,Solubility: 2.514 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,19.99,methanol,,,Solubility: 4.59 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,24.99,methanol,,,Solubility: 9.459 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,29.99,methanol,,,Solubility: 27.4 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,34.99,methanol,,,Solubility: 69.39 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,9.99,ethanol,,,Solubility: 2.265 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,14.99,ethanol,,,Solubility: 3.609 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,19.99,ethanol,,,Solubility: 6.47 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,24.99,ethanol,,,Solubility: 12.72 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,29.99,ethanol,,,Solubility: 28.93 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,34.99,ethanol,,,Solubility: 71.5 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,9.99,propan-1-ol,,,Solubility: 2.715 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,14.99,propan-1-ol,,,Solubility: 4.295 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,19.99,propan-1-ol,,,Solubility: 7.557 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,24.99,propan-1-ol,,,Solubility: 15.2 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,29.99,propan-1-ol,,,Solubility: 32.98 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,34.99,propan-1-ol,,,Solubility: 71.8 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,9.99,isopropyl alcohol,,,Solubility: 1.689 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,14.99,isopropyl alcohol,,,Solubility: 2.733 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,19.99,isopropyl alcohol,,,Solubility: 4.87 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,24.99,isopropyl alcohol,,,Solubility: 10.09 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,29.99,isopropyl alcohol,,,Solubility: 27.51 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,34.99,isopropyl alcohol,,,Solubility: 70.19 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,9.99,butan-1-ol,,,Solubility: 3.369 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,14.99,butan-1-ol,,,Solubility: 5.111 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,19.99,butan-1-ol,,,Solubility: 9.082 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,24.99,butan-1-ol,,,Solubility: 18.17 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,29.99,butan-1-ol,,,Solubility: 34.04 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,34.99,butan-1-ol,,,Solubility: 74.95 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,9.99,iso-butanol,,,Solubility: 3.813 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,14.99,iso-butanol,,,Solubility: 6.02 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
,in solution,19.99,iso-butanol,,,Solubility: 10.48 molpercent,"Wei, Dongwei;?Pei, Yanhong;?Yan, Feng[Journal of Chemical and Engineering Data,?2009, vol. 54, # 1, p. 142 - 143]"
,,,,,,,Full Text
,,,,,,,Cited 1 timesDetailsAbstract
