"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,"readily soluble in ethyl acetate, toluene, tetrahydrofuran and acetonitrile (> 4 mol/L), but it was less soluble in methanol and ethanol (ca. 0.3 mol/L)","Lebl, Ren¨¦;?Zhu, Yutong;?Ng, Derrick;?Hornung, Christian H.;?Cantillo, David;?Kappe, C. Oliver[Catalysis Today,?2022, vol. 383, p. 55 - 63]"
,,,,,,,Full Text
,,,,,,,Cited 23 timesDetailsAbstract
,,,,,,"better solubility in liquid 1,1,2,2-tetrafluoroethane","Fauziev, Ruslan V.;?Kharchenko, Alexandr K.;?Kuchurov, Ilya V.;?Zharkov, Mikhail N.;?Zlotin, Sergei G.[RSC Advances,?2021, vol. 11, # 42, p. 25841 - 25847]"
,,,,,,,Full Text
,,,,,,,Cited 6 timesDetailsAbstract
,in pure solvent,25,hexane,,,Solubility: 1.742 molpercent,"Hoover, Kaci R.;?Acree Jr., William E.;?Abraham, Michael H.[Journal of Solution Chemistry,?2005, vol. 34, # 10, p. 1121 - 1133]"
,,,,,,,Full Text
,,,,,,,Cited 23 timesDetailsAbstract
,in pure solvent,25,heptane,,,Solubility: 1.983 molpercent,"Hoover, Kaci R.;?Acree Jr., William E.;?Abraham, Michael H.[Journal of Solution Chemistry,?2005, vol. 34, # 10, p. 1121 - 1133]"
,,,,,,,Full Text
,,,,,,,Cited 23 timesDetailsAbstract
,in pure solvent,25,octane,,,Solubility: 2.234 molpercent,"Hoover, Kaci R.;?Acree Jr., William E.;?Abraham, Michael H.[Journal of Solution Chemistry,?2005, vol. 34, # 10, p. 1121 - 1133]"
,,,,,,,Full Text
,,,,,,,Cited 23 timesDetailsAbstract
,in pure solvent,25,various solvent(s),,,Solubility: 2.516 molpercent,"Hoover, Kaci R.;?Acree Jr., William E.;?Abraham, Michael H.[Journal of Solution Chemistry,?2005, vol. 34, # 10, p. 1121 - 1133]"
,,,,,,,Full Text
,,,,,,,Cited 23 timesDetailsAbstract
,in pure solvent,25,decane,,,Solubility: 2.739 molpercent,"Hoover, Kaci R.;?Acree Jr., William E.;?Abraham, Michael H.[Journal of Solution Chemistry,?2005, vol. 34, # 10, p. 1121 - 1133]"
,,,,,,,Full Text
,,,,,,,Cited 23 timesDetailsAbstract
