"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,"low solubility in the aqueous phase, well soluble in medium supplemented with polysorbates PS 20, PS 80 and TX-100","Schmitz, Lisa Marie;?Kinner, Alina;?Althoff, Kirsten;?Rosenthal, Katrin;?L®πtz, Stephan[ChemBioChem,?2021, vol. 22, # 13, p. 2266 - 2274]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,,,,,,"Johannsen;?Brunner[Journal of Chemical and Engineering Data,?1997, vol. 42, # 1, p. 106 - 111]"
,,,,,,,Full Text
,,,,,,,Cited 158 timesDetailsAbstract
280,in solution,26,ethanol,,,,"Penau;?Hagemann[Helvetica Chimica Acta,?1946, vol. 29, p. 1366,1367]"
,,,,,,,Full Text
,,,,,,,Details
250,in solution,26,acetone,,,,"Penau;?Hagemann[Helvetica Chimica Acta,?1946, vol. 29, p. 1366,1367]"
,,,,,,,Full Text
,,,,,,,Details
310,in solution,26,ethyl acetate,,,,"Penau;?Hagemann[Helvetica Chimica Acta,?1946, vol. 29, p. 1366,1367]"
,,,,,,,Full Text
,,,,,,,Details
69.5,in solution,7,acetone,,,,"Windaus et al.[Justus Liebigs Annalen der Chemie,?1932, vol. 492, p. 226,229]"
,,,,,,,Full Text
,,,,,,,Details
