"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.0061,in pure solvent,21.85,various solvent(s),,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
0.0062,in pure solvent,21.85,various solvent(s),,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
26,in pure solvent,21.85,various solvent(s),,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
35,in pure solvent,21.85,aq. H2SO4,,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
28,in pure solvent,21.85,aq. HCl,,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
0.007,in pure solvent,21.85,H2O,,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
0.019,in pure solvent,21.85,"ethanol, H2O",10 wt percent : 90 wt percent,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
0.037,in pure solvent,21.85,"ethanol, H2O",20 wt percent : 80 wt percent,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
0.37,in pure solvent,21.85,"methanol, H2O",50 wt percent : 50 wt percent,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
0.16,in pure solvent,21.85,"acetone, H2O",30 wt percent : 70 wt percent,,,"Ma, Zhen;?Zaera, Francisco[Journal of Physical Chemistry B,?2005, vol. 109, # 1, p. 406 - 414]"
,,,,,,,Full Text
,,,,,,,Cited 84 timesDetailsAbstract
