"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,,,,,equation,"Ruelle, Paul;?Kesselring, Ulrich W.[Journal of Pharmaceutical Sciences,?1998, vol. 87, # 8, p. 998 - 1014]"
,,,,,,,Full Text
,,,,,,,Cited 42 timesDetailsAbstract
,,39.85,H2O,,,"temperature dependence. Object(s) of Study: solvent dependence. Object(s) of Study: diagram, Solubility: 0.0011 mol-percent","Bustamante[Journal of Pharmaceutical Sciences,?1998, vol. 87, # 12, p. 1590 - 1596]"
,,,,,,,Full Text
,,,,,,,Cited 228 timesDetailsAbstract
,,39.85,dioxane,,,"temperature dependence. Object(s) of Study: solvent dependence. Object(s) of Study: diagram, Solubility: 0.2129 mol-percent","Bustamante[Journal of Pharmaceutical Sciences,?1998, vol. 87, # 12, p. 1590 - 1596]"
,,,,,,,Full Text
,,,,,,,Cited 228 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",60:40:00,,Solubility: 246,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,H2O,,,Solubility: 6.38 mol/kg,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 8, p. 1094 - 1097]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",0.233333333,,Solubility: 16.6,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",0.315277778,,Solubility: 26.8,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",0.397222222,,Solubility: 35.4,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"H2O, ethanol",90:10:00,,Solubility: 9.64 mol/kg,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 8, p. 1094 - 1097]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"H2O, ethanol",80:20:00,,Solubility: 14.4 mol/kg,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 8, p. 1094 - 1097]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"H2O, ethanol",70:30:00,,Solubility: 36.3 mol/kg,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 8, p. 1094 - 1097]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"H2O, ethanol",60:40:00,,Solubility: 52.6 mol/kg,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 8, p. 1094 - 1097]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"H2O, ethanol",50:50:00,,Solubility: 76.5 mol/kg,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 8, p. 1094 - 1097]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"H2O, ethanol",40:60,,Solubility: 141 mol/kg,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 8, p. 1094 - 1097]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"H2O, ethanol",30:70,,Solubility: 206 mol/kg,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 8, p. 1094 - 1097]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",0.479166667,,Solubility: 47.7,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",0.684027778,,Solubility: 90.3,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",0.888888889,,Solubility: 96.5,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",25:75,,Solubility: 140,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",30:70,,Solubility: 195,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",40:60,,Solubility: 214,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,25,"ethanol, cyclohexane",50:50:00,,Solubility: 241,"Manzo;?Ahumada;?Luna[Journal of Pharmaceutical Sciences,?1984, vol. 73, # 12, p. 1869 - 1871]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,in pure solvent,,,,,,"Yalkowsky;?Valvani;?Roseman[Journal of Pharmaceutical Sciences,?1983, vol. 72, # 8, p. 866 - 870]"
,,,,,,,Full Text
,,,,,,,Cited 185 timesDetailsAbstract
,,,,,,Loesl. in waessrigen Poloxamerlsg.,"Collett;?Tobin[Journal of Pharmacy and Pharmacology,?1979, vol. 31, # 3, p. 174 - 177,175,177]"
,,,,,,,Full Text
,,,,,,,Cited 40 timesDetailsAbstract
,,,,,,Loeslichkeitsdaten in W. u. wss. Sucrose-Lsg. und als Funktion der Dielektrizitaetskonst.,"Sheth et al.[Journal of Pharmaceutical Sciences,?1966, vol. 55, p. 1144,1146]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,Loesl. in 2percent Ethanol,"Ward;?Upchurch[Journal of Agricultural and Food Chemistry,?1965, vol. 13, p. 334,335]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,"Sulubilisationsversuch: b, m (Loeslichkeit)","Kuettel[Pharmazeutische Zentralhalle,?1964, vol. 103, p. 10,16]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,Chlorbenzol/Brombenzol,"Michailow[Izvestiya Sibirskogo Otdeleniya Akademii Nauk SSSR,?1961, vol. 5, p. 51,52-58][Chem.Abstr.,?1961, # 26628]"
