"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,poor solubility at room temperature in isopropanol as well as in a mixture of isopropanol:H2SO4,"Vinet, Laurent;?Di Marco, Lorenzo;?Kairouz, Vanessa;?Charette, Andr®¶ B.[Organic Process Research and Development,?2022, vol. 26, # 8, p. 2330 - 2336]"
,,,,,,,Full Text
,,,,,,,Cited 5 timesDetailsAbstract
,,37,,,Paragraph 0095-0099,soluble in sodium dodecyl sulfate,"Current Patent Assignee:?ACADEMY OF MILITARY MEDICAL SCIENCES?- CN115141136,?2022, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,soluble in water,"Floris, Sonia;?Fais, Antonella;?Medda, Rosaria;?Pintus, Francesca;?Piras, Alessandra;?Kumar, Amit;?Ku?, Piotr Marek;?Westermark, Gunilla Torstensdotter;?Era, Benedetta[Journal of Enzyme Inhibition and Medicinal Chemistry,?2021, vol. 36, # 1, p. 517 - 524]"
,,,,,,,Full Text
,,,,,,,Cited 13 timesDetailsAbstract
,,,,,Paragraph 0105,"easily soluble in chloroform and methanol, insoluble in water","Current Patent Assignee:?QINGHAI NATIONALITIES UNIVERSITY?- CN110840900,?2020, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,Paragraph 0101; 0110,"easily soluble in chloroform and methanol, insoluble in water","Current Patent Assignee:?QINGHAI NATIONALITIES UNIVERSITY?- CN110938105,?2020, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,Paragraph 0106,"easily soluble in chloroform and methanol, insoluble in wate","Current Patent Assignee:?QINGHAI NATIONALITIES UNIVERSITY?- CN110840876,?2020, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,Paragraph 0059,easily soluble in methanol,"Current Patent Assignee:?SANQUAN MEDICAL COLLEGE?- CN110981931,?2020, A"
,,,,,,,Full Text
,,,,,,,DetailsAbstract
,,,,,,water-soluble,"Yoshimura, Motoyasu;?Miyake, Masateru;?Kawato, Tatsuya;?Bando, Masahiko;?Toda, Masafumi;?Kato, Yusuke;?Fukami, Toshiro;?Ozeki, Tetsuya[Crystal Growth and Design,?2017, vol. 17, # 2, p. 550 - 557]"
,,,,,,,Full Text
,,,,,,,Cited 56 timesDetailsAbstract
