"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
0.0081,in pure solvent,25,H2O,,,,"Tsai;?Kuo;?Lin[Journal of Pharmaceutical Sciences,?1993, vol. 82, # 12, p. 1250 - 1258]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
0.568,in pure solvent,25,CHCl3,,,,"Tsai;?Kuo;?Lin[Journal of Pharmaceutical Sciences,?1993, vol. 82, # 12, p. 1250 - 1258]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
0.843,in pure solvent,25,methanol,,,,"Tsai;?Kuo;?Lin[Journal of Pharmaceutical Sciences,?1993, vol. 82, # 12, p. 1250 - 1258]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
2.234,in pure solvent,25,ethyl acetate,,,,"Tsai;?Kuo;?Lin[Journal of Pharmaceutical Sciences,?1993, vol. 82, # 12, p. 1250 - 1258]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
2.741,in pure solvent,25,acetone,,,,"Tsai;?Kuo;?Lin[Journal of Pharmaceutical Sciences,?1993, vol. 82, # 12, p. 1250 - 1258]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
1.962,in pure solvent,25,"ethanol, H2O",95:05:00,,,"Tsai;?Kuo;?Lin[Journal of Pharmaceutical Sciences,?1993, vol. 82, # 12, p. 1250 - 1258]"
,,,,,,,Full Text
,,,,,,,Cited 38 timesDetailsAbstract
