"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,insoluble in n-hexane,"Yamaguchi, Kazuya;?Kobayashi, Hiroaki;?Wang, Ye;?Oishi, Takamichi;?Ogasawara, Yoshiyuki;?Mizuno, Noritaka[Catalysis science and technology,?2013, vol. 3, # 2, p. 318 - 327]"
,,,,,,,Full Text
,,,,,,,Cited 86 timesDetailsAbstract
,,30,CCl4,,,100 g solvent dissolves. 0.4 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,50,CCl4,,,100 g solvent dissolves. 0.7 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,60,CCl4,,,100 g solvent dissolves. 3.7 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,70,CCl4,,,100 g solvent dissolves. 18.2 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,10,nitroethane,,,100 g solvent dissolves. 1.0 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,30,nitroethane,,,100 g solvent dissolves. 2.1 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,50,nitroethane,,,100 g solvent dissolves. 7.5 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,70,nitroethane,,,100 g solvent dissolves. 37.5 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,90,nitroethane,,,100 g solvent dissolves. 307 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,100,nitroethane,,,100 g solvent dissolves. 1600 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,30,cyclohexane,,,100 g solvent dissolves. 0.1 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,50,cyclohexane,,,100 g solvent dissolves. 0.2 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
,,60,cyclohexane,,,100 g solvent dissolves. 0.3 g Substance.,"Ralston;?Hoerr;?Pool[Journal of Organic Chemistry,?1943, vol. 8, p. 474]"
,,,,,,,Full Text
,,,,,,,Details
