"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,good solubility in water,"?al??kan, Melike;?Akay, Sema;?Baran, Talat;?Kayan, Berkant[Journal of Organometallic Chemistry,?2021, vol. 950]"
,,,,,,,Full Text
,,,,,,,Cited 3 timesDetailsAbstract
0.975,in pure solvent,61,water,,,,"Hariri, Mohammad;?Ghani, Kamal;?Damiri, Sajjad[Journal of the Iranian Chemical Society,?2019, vol. 16, # 11, p. 2401 - 2408]"
,,,,,,,Full Text
,,,,,,,Cited 10 timesDetailsAbstract
,,,,,,Soluble in toluene,"Huynh, Tan-Phat;?Sosnowska, Marta;?Sobczak, Janusz W.;?Kc, Chandra B.;?Nesterov, Vladimir N.;?D'Souza, Francis;?Kutner, Wlodzimierz[Analytical Chemistry,?2013, vol. 85, # 17, p. 8361 - 8368]"
,,,,,,,Full Text
,,,,,,,Cited 48 timesDetailsAbstract
0.15,in pure solvent,20,H2O,,,,"Luning Prak, Dianne J.[Chemosphere,?2007, vol. 68, # 10, p. 1961 - 1967]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.097,in pure solvent,4,H2O,,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.15,in pure solvent,20,H2O,,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.235,in pure solvent,30,H2O,,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.39,in pure solvent,40,H2O,,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.087,in pure solvent,4,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.084,in pure solvent,4,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.078,in pure solvent,4,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.138,in pure solvent,20,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.136,in pure solvent,20,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.127,in pure solvent,20,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.222,in pure solvent,30,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.212,in pure solvent,30,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.197,in pure solvent,30,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.354,in pure solvent,40,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.339,in pure solvent,40,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
0.321,in pure solvent,40,"H2O, various solvent(s)",,,,"Prak, Dianne J. Luning;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2006, vol. 51, # 2, p. 448 - 450]"
,,,,,,,Full Text
,,,,,,,Cited 39 timesDetailsAbstract
,in pure solvent,,,,,solvent dependence. Object(s) of Study: temperature dependence,"Phelan, James M.;?Barnett, James L.[Journal of Chemical and Engineering Data,?2001, vol. 46, # 2, p. 375 - 376]"
,,,,,,,Full Text
,,,,,,,Cited 53 timesDetailsAbstract
,in pure solvent,23,liquid carbon dioxide,,,Solubilty: 24 weight-percent,"Hyatt, John A.[Journal of Organic Chemistry,?1984, vol. 49, # 26, p. 5097 - 5101]"
,,,,,,,Full Text
,,,,,,,Cited 356 timesDetailsAbstract
,in pure solvent,,,,,,"Yalkowsky;?Valvani[Journal of Pharmaceutical Sciences,?1980, vol. 69, # 8, p. 912 - 922]"
,,,,,,,Full Text
,,,,,,,Cited 522 timesDetailsAbstract
,,,,,,H2SO4 (25grad),"Grabowskaja;?Winnik[Russian Journal of Physical Chemistry,?1966, vol. 40, p. 1221][Zhurnal Fizicheskoi Khimii,?1966, vol. 40, p. 2272]"
,,,,,,,Full Text
,,,,,,,Details
