"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
630,in solution,20,acetone,,,,"Raistrick;?Smith[Biochemical Journal,?1933, vol. 72, p. 1814,1815, 1817]"
,,,,,,,Full Text
,,,,,,,Details
330,in solution,20,ethyl acetate,,,,"Raistrick;?Smith[Biochemical Journal,?1933, vol. 72, p. 1814,1815, 1817]"
,,,,,,,Full Text
,,,,,,,Details
200,in solution,20,CHCl3,,,,"Raistrick;?Smith[Biochemical Journal,?1933, vol. 72, p. 1814,1815, 1817]"
,,,,,,,Full Text
,,,,,,,Details
75,in solution,20,benzene,,,,"Raistrick;?Smith[Biochemical Journal,?1933, vol. 72, p. 1814,1815, 1817]"
,,,,,,,Full Text
,,,,,,,Details
3.3,in solution,20,diethyl ether,,,,"Raistrick;?Smith[Biochemical Journal,?1933, vol. 72, p. 1814,1815, 1817]"
,,,,,,,Full Text
,,,,,,,Details
3,in solution,20,ethanol,,,,"Raistrick;?Smith[Biochemical Journal,?1933, vol. 72, p. 1814,1815, 1817]"
,,,,,,,Full Text
,,,,,,,Details
