"Solubility, g°§l-1",Saturation,"Temperature (Solubility (MCS)), °„C",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,,,,,,Soluble in toluene,"Huynh, Tan-Phat;?Sosnowska, Marta;?Sobczak, Janusz W.;?Kc, Chandra B.;?Nesterov, Vladimir N.;?D'Souza, Francis;?Kutner, Wlodzimierz[Analytical Chemistry,?2013, vol. 85, # 17, p. 8361 - 8368]"
,,,,,,,Full Text
,,,,,,,Cited 48 timesDetailsAbstract
0.27,in pure solvent,4.34,H2O,,,,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.39,in pure solvent,16.94,H2O,,,,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.492,in pure solvent,24.54,H2O,,,,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.565,in pure solvent,30.84,H2O,,,,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.378,in pure solvent,16.94,"H2O, various solvent(s)",,,Ratio of solvents: 75:25,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.713,in pure solvent,40.44,"H2O, various solvent(s)",,,Ratio of solvents: 75:25,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.357,in pure solvent,16.94,"H2O, various solvent(s)",,,Ratio of solvents: 50:50,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.687,in pure solvent,40.44,"H2O, various solvent(s)",,,Ratio of solvents: 50:50,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.343,in pure solvent,16.94,"H2O, various solvent(s)",,,Ratio of solvents: 25:75,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.641,in pure solvent,40.44,various solvent(s),,,,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.486,in pure solvent,30.84,various solvent(s),,,,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.335,in pure solvent,16.94,various solvent(s),,,,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.241,in pure solvent,4.34,various solvent(s),,,,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.662,in pure solvent,40.44,"H2O, various solvent(s)",,,Ratio of solvents: 25:75,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.501,in pure solvent,30.84,"H2O, various solvent(s)",,,Ratio of solvents: 25:75,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.249,in pure solvent,4.34,"H2O, various solvent(s)",,,Ratio of solvents: 25:75,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
0.52,in pure solvent,30.84,"H2O, various solvent(s)",,,Ratio of solvents: 50:50,"Luning Prak, Dianne J.;?O'Sullivan, Daniel W.[Journal of Chemical and Engineering Data,?2007, vol. 52, # 6, p. 2446 - 2450]"
,,,,,,,Full Text
,,,,,,,Cited 28 timesDetailsAbstract
